,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph
10,611Describe how viruses can cause disease.,611,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause disease.,Biomedical Engineering,"(bacteria, infect, host) like (viruses, infect, host). (bacteria, release, toxins) like (viruses, release, toxins). (bacteria, colonize, organs) like (viruses, colonize, cells)","Bacteria can cause disease by infecting their host. They do this by entering the host either through open wounds or through the airways. Once inside the host, the bacteria can release toxins which can cause damage to the host's organs and tissues. In some cases, bacteria can also colonize certain organs and cause further damage.","Viruses are able to cause disease through their ability to infect the host. Once they have infected the host, they can release toxins that cause cellular damage, resulting in disease. Additionally, the viruses can colonize the host's cells, taking over their normal functions and disrupting the normal functioning of the organism."," Viruses release toxins that cause cellular damage, resulting in disease. After causing disease, the viruses then infect the host. Following the infection, the viruses colonize the host's cells, taking over their normal functions and disrupting the normal functioning of the organism."
11,739How do birds and insects aid in pollination?,739,How do animals help plants disburse seeds?,Natural Sciences,Natural Sciences,How do birds and insects aid in pollination?,Natural Sciences,"(mammals, disperse, seeds) like (birds, disperse, pollen). (rodents, carry, acorns) like (bees, carry, nectar). (rabbits, bury, nuts) like (butterflies, spread, pollen)","Animals play an important role in helping plants disburse seeds. Mammals such as deer and squirrels are known to disperse seeds from fruits and vegetables. Rodents such as mice and rats are known to carry acorns, nuts, and other seeds around in their fur. Rabbits even have the habit of burying some of the nuts they find to help with seed disbursement.","Birds play an important role in aiding pollination by dispersing pollen from flower to flower. Bees are also key pollinators, since they collect nectar from flowers and carry it to other plants. Additionally, butterflies help spread pollen by landing on flowers and transferring the pollen from one flower to another."," Bees play a key role in pollination as they collect nectar from flowers and carry it to other plants. Following the bees, birds aid in pollination by dispersing pollen from flower to flower. Finally, butterflies also help in pollination by landing on flowers and transferring the pollen from one flower to another."
12,536How does the lymphatic system remove waste from the human body?,536,How does blood remove waste from the human body?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the lymphatic system remove waste from the human body?,Biomedical and Health Sciences,"(blood, transports, waste) like (lymphatic system, transports, waste). (red blood cells, absorb, toxins) like (lymphocytes, absorb, toxins). (kidneys, filter, impurities) like (lymph nodes, filter, impurities)","Blood transports waste away from the body. Red blood cells absorb toxins and other impurities and transport them to the kidneys, where they are filtered out and removed from the body.","The lymphatic system is responsible for transporting waste from the tissues of the body. It works by collecting excess fluids, proteins, and other molecules from the tissues and transporting them to the bloodstream. Lymphocytes, specialized cells in the lymphatic system, absorb toxins and impurities from the body. The lymph nodes then act as filters to remove any impurities from the lymphatic fluid before it is returned to the bloodstream."," The cleaned lymphatic fluid is returned to the bloodstream. Following this, the lymphatic system collects excess fluids, proteins, and other molecules from the tissues. Then, lymphocytes absorb toxins and impurities from the body. Finally, the lymph nodes act as filters to remove any impurities."
13,1081How does a nuclear power plant work?,1081,How does a coal-fired power plant work?,Engineering,Engineering,How does a nuclear power plant work?,Nuclear Engineering,"(coal, combusts, heat) like (uranium, fissions, energy). (boiler, converts, thermal energy) like (reactor, converts, nuclear energy). (turbine, produces, electrical power) like (turbine, produces, electrical power)","A coal-fired power plant works by combusting coal to generate heat. The heat is then transferred to a boiler where it is converted into thermal energy. This thermal energy is used to create steam, which is passed through a turbine that produces electrical power. The turbine rotates, and as it does, it produces electrical power due to the conversion of the thermal energy generated from the combustion of the coal.","A nuclear power plant uses uranium, which undergoes a process of fission to generate energy. This energy is held in a reactor, which then converts the nuclear energy into heat. The heat is used to boil water, creating steam which is then directed to a turbine. The turbine produces mechanical energy, which is then converted into electrical power."," Uranium is used in a nuclear power plant and undergoes a process of fission to generate energy. The energy is held in a reactor. The steam is then directed to a turbine. Following this, the reactor converts the nuclear energy into heat. The heat is used to boil water, creating steam. The turbine then produces mechanical energy. Finally, the mechanical energy is converted into electrical power."
14,769How do algae get the energy they need?,769,How do green plants get the energy they need?,Natural Sciences,Natural Sciences,How do algae get the energy they need?,Biology,"(sunlight, initiate, photosynthesis) like (sunlight, initiate, photosynthesis). (chlorophyll, absorb, sunlight) like (chlorophyll, absorb, sunlight). (carbon dioxide, combine with, water) like (carbon dioxide, combine with, water)","Green plants get their energy from the sun. Sunlight is used to initiate photosynthesis, the process by which plants create energy. Chlorophyll, the pigment found in plants, absorbs the sunlight and uses it to convert carbon dioxide and water into energy-rich molecules. The carbon dioxide and water combine to form carbohydrates, which are the main source of energy for the plant.","Algae gets the energy it needs from the sun. Sunlight initiates photosynthesis, which is the process in which algae convert sunlight into energy. Chlorophyll, which is the pigment in algae, absorbs the energy from the sunlight. Carbon dioxide and water then combine to form glucose, which is used by the algae for energy."," Chlorophyll, which is the pigment in algae, absorbs the energy from the sunlight. After absorbing the energy, algae receive sunlight. The sunlight then initiates photosynthesis in algae. Finally, carbon dioxide and water combine to form glucose, which is used by the algae for energy."
15,300Describe how viruses can cause infection.,300,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause infection.,ioengineering,"(bacteria, invade, cells) like (viruses, invade, cells). (bacteria, produce, toxins) like (viruses, produce, proteins). (bacteria, replicate, rapidly) like (viruses, replicate, rapidly)","Bacteria are microscopic organisms that can invade cells and cause disease. Bacteria can produce toxins that can damage cells and cause inflammation. Once inside a cell, bacteria can replicate rapidly, leading to the spread of infection.","Viruses are microscopic particles that can invade and damage cells. Once inside a cell, viruses can produce proteins that allow them to replicate rapidly. This replication of the virus can lead to an infection."," Viruses replicate rapidly. Following replication, they invade and damage cells. After damaging the cells, viruses produce proteins inside the cell. Finally, the replication of the virus leads to an infection."
16,384How does a bacteria cause infection?,384,How does a virus cause disease?,Biomedical and Health Sciences,Engineering,How does a bacteria cause infection?,Biomedical Engineering,"(virus, enters, cell) like (bacteria, enters, tissue). (virus, replicates, itself) like (bacteria, multiplies, itself). (virus, releases, toxins) like (bacteria, produces, toxins)","A virus enters a cell and begins to replicate itself. As the virus replicates, it releases toxins within the cell, which can cause damage and disrupt the normal functioning of the cell. This can lead to the development of a wide range of diseases, depending on the type of virus and the cell it has infected.","When bacteria enters the tissue, it multiplies itself and produces toxins. These toxins cause irritation and inflammation, resulting in infection. The bacteria can also damage the tissue, which can lead to infection."," When bacteria enters the tissue, these toxins cause irritation and inflammation, resulting in infection. After the infection, the bacteria multiplies itself and produces toxins. Finally, the bacteria also can damage the tissue, which can lead to another infection."
17,516Describe the life cycle of the human body,516,Describe the life cycle of a frog,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of the human body,Biomedical and Health Sciences,"(egg, develops, tadpole) like (fetus, develops, baby). (tadpole, metamorphoses, frog) like (fetus, matures, adult). (frog, reproduces, eggs) like (adult, reproduces, zygote)","The life cycle of a frog begins with an egg, which develops into a tadpole. The tadpole then goes through metamorphosis, transforming into a frog. Once the frog has matured, it will reproduce and lay eggs, thus completing the cycle. The eggs develop into tadpoles, and the process begins again.","The life cycle of the human body begins when a zygote is produced by the reproductive process of an adult. The zygote then develops into a fetus and matures into a baby. The baby develops and grows until it matures into an adult. At this point, the adult can then reproduce and the cycle continues, with a new zygote developing into a fetus and maturing into a baby."," The baby develops and grows until it matures into an adult. At this point, a zygote is produced by the reproductive process of an adult. The zygote then develops into a fetus. The fetus matures into a baby. The adult can then reproduce and the cycle continues."
18,844How does a pacemaker work?,844,How does an electromagnet work?,Engineering,Biomedical and Health Sciences,How does a pacemaker work?,Biomedical and Health Sciences,"(electromagnet, creates, magnetic field) like (pacemaker, generates, electrical impulse). (battery, supplies, electric current) like (battery, supplies, electric current). (coil, increases, magnetic field) like (electrode, increases, electric current)","An electromagnet creates a magnetic field when an electric current is supplied to it. This electric current is typically supplied by a battery. The electric current flows through the coil, which then concentrates and increases the magnetic field.","A pacemaker is a device that generates electrical impulses to regulate the heart rate. The battery supplies electric current to the pacemaker. The electrode then increases the electric current, which is then transmitted to the heart, causing it to contract. This helps to maintain a regular heartbeat."," The pacemaker, a device that generates electrical impulses, is ready. The increased electric current is then transmitted to the heart, causing it to contract and regulate the heartbeat. After the heart has started to contract, the battery supplies electric current to the pacemaker. Finally, the electrode increases the electric current."
19,298How does a virus spread through a population?,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Social Sciences,How does a virus spread through a population?,Epidemiology,"(bacteria, infect, host) like (virus, infect, host). (bacteria, produce, toxins) like (virus, produce, toxins). (bacteria, cause, inflammation) like (virus, cause, inflammation)","Bacteria are microscopic organisms that can infect a host and cause disease. When the bacteria enter the body, they can produce toxins which can cause inflammation and damage to the cells. This can cause the body to become ill and can lead to serious complications if left untreated. Additionally, bacteria can cause infections in the body, leading to further problems.","A virus is able to spread through a population by first infecting a host. This host may be a person, animal, or insect. Once the virus has infected a host, it is able to reproduce and produce toxins and other materials that can cause inflammation. The virus is then able to spread to other hosts through contact or airborne particles."," A virus spreads to other hosts through contact or airborne particles. After spreading, the virus infects a host. Following the infection, the virus reproduces and produces toxins and other materials that cause inflammation."
20,1060How does a washing machine work?,1060,How does a dishwasher work?,Engineering,Engineering,How does a washing machine work?,Mechanical Engineering,"(water, flows, dishwasher compartment) like (water, flows, washing machine drum). (detergent, dissolves, soil particles) like (detergent, dissolves, dirt particles). (spray arms, rotate, dishes) like (agitator, rotates, clothes)","When a dishwasher is turned on, water flows from the water line into the dishwasher compartment. The water is then mixed with the detergent, which helps dissolve the soil particles on the dishes. The spray arms then rotate and spray the water and detergent mixture onto the dishes, cleaning them.","A washing machine works by allowing water to flow into the washing machine drum. The detergent then dissolves and lifts dirt particles from the clothes. The agitator then rotates the clothes to help remove any stubborn dirt particles. The detergent also helps to break down the dirt particles so that they can be washed away. The rotation of the agitator helps to further break down the dirt particles, allowing them to be washed away with the water."," The washing machine works by allowing water to flow into the drum. Then, the agitator rotates the clothes to help remove any stubborn dirt particles. After the agitation, the detergent is added to dissolve and lift dirt particles from the clothes. The detergent also helps to break down the dirt particles so that they can be washed away. Finally, the rotation of the agitator helps to further break down dirt particles, allowing them to be washed away with the water."
21,1195How does a robot arm get a ball?,1195,How does an eagle get food?,Natural Sciences,Engineering,How does a robot arm get a ball?,Robotics Engineering,"(eagle, spots, prey) like (robot arm, spots, ball). (eagle, dives, towards prey) like (robot arm, moves, towards ball). (eagle, grabs, prey with talons) like (robot arm, grabs, ball with gripper)","An eagle spots its prey from a distance and dives towards it. The eagle then grabs the prey with its sharp talons. Once the eagle has a grip on the prey, it carries it off to a safe place to eat.","The robot arm first spots the ball. Then, it moves towards the ball. The robot arm has a gripper which it uses to grab the ball. The gripper is connected to the robot arm, allowing it to move the ball once it has been grabbed."," The robot arm first spots the ball. Then, it uses its gripper to grab the ball. After grabbing the ball, it moves towards the ball. Finally, the gripper, connected to the robot arm, moves the ball."
22,643Describe the metamorphosis of a butterfly,643,Describe the life cycle of a frog,Natural Sciences,Natural Sciences,Describe the metamorphosis of a butterfly,Entomology,"(egg, develops into, tadpole) like (egg, develops into, caterpillar). (tadpole, grows into, adult frog) like (caterpillar, grows into, adult butterfly). (frog, lays, eggs) like (butterfly, lays, eggs)","The life cycle of a frog begins with an egg. The egg then develops into a tadpole, which is a small aquatic larva. As the tadpole grows, it develops hind legs and later front legs and eventually grows into an adult frog. The adult frog then lays eggs, which starts the cycle again.","The metamorphosis of a butterfly begins with the egg, which develops into a caterpillar. The caterpillar then grows into an adult butterfly, which is able to lay eggs. Finally, the butterfly lays eggs, beginning the cycle anew."," The caterpillar grows into an adult butterfly. Then, the butterfly lays an egg. After the egg is laid, it develops into a caterpillar. Finally, the adult butterfly lays eggs, beginning the cycle anew."
23,769How do solar panels get the energy they need?,769,How do green plants get the energy they need?,Natural Sciences,Engineering,How do solar panels get the energy they need?,Electrical Engineering,"(chlorophyll, absorbs, sunlight) like (solar cells, absorbs, sunlight). (photosynthesis, converts, light energy) like (photovoltaics, converts, light energy). (oxygen, released, into the atmosphere) like (electricity, released, into the power grid)","Green plants rely on the process of photosynthesis to get the energy they need. Chlorophyll, which is found in the leaves of green plants, absorbs the energy of the sun's light and converts it into energy that can be used by the plant. This light energy is used to convert water and carbon dioxide into glucose and oxygen, with the oxygen being released into the atmosphere.","Solar panels are made up of solar cells that absorb sunlight. The photovoltaic process inside the solar cells then converts the light energy into electricity, which is then released into the power grid. This electricity can then be used to power various devices and appliances."," Solar panels, made of solar cells, absorb sunlight. The absorbed sunlight is then immediately released into the power grid as electricity. After being released into the grid, the light energy is then converted into electricity through the photovoltaic process inside the solar cells. Finally, the electricity from the grid is used to power various devices and appliances."
24,1058How does a washing machine work?,1058,How does a dishwasher work?,Engineering,Engineering,How does a washing machine work?,Mechanical Engineering,"(detergent, dissolves, grease and dirt) like (detergent, dissolves, dirt and stains). (pump, circulates, water) like (motor, circulates, water). (spray arm, sprays, water) like (agitator, agitates, clothes)","When the dishwasher is turned on, detergent is released and it begins to dissolve grease and dirt on the dishes. A pump then circulates hot water around the dishwasher. The water is sprayed out of the spray arm, which reaches all the dishes and helps to remove the dirt and grease. The detergent helps to break down the dirt and grease and the water pressure from the spray arm helps to remove it from the dishes.","A washing machine uses detergent to dissolve dirt and stains on clothes. A motor is used to circulate water and detergent through the laundry. An agitator is then used to agitate the clothes, helping to remove the dirt and stains. The agitator also helps to circulate the water and detergent throughout the load."," A washing machine uses detergent to dissolve dirt and stains on clothes. Then, an agitator is used to agitate the clothes, helping to remove the dirt and stains. After the clothes have been agitated, a motor is used to circulate water and detergent through the laundry. Finally, the agitator also helps to circulate the water and detergent throughout the load."
25,254How do viruses use humans to help spread their infection?,254,How do plants use animals to help disburse their seeds?,Natural Sciences,Biomedical and Health Sciences,How do viruses use humans to help spread their infection?,Biomedical and Health Sciences,"(seeds, carried by, animals) like (viruses, carried by, humans). (plants, depend on, animals) like (viruses, depend on, humans). (animals, transport, seeds) like (humans, transport, viruses)","Plants depend on animals to help them disburse their seeds. The animals transport the seeds to different locations, which increases the chances of the plants surviving and spreading. The animals carry the seeds in their fur and on their bodies, which allows them to be transported to distant locations. This process of seed dispersal by animals is essential for plants to propagate and survive.","Viruses depend on humans to help spread their infection. Viruses are carried by humans and can be transported to other people through contact with saliva, mucus, and other bodily fluids. Humans can unknowingly transport the virus from one host to another, enabling the virus to spread rapidly."," Viruses depend on humans to help spread their infection. Humans can unknowingly transport the virus from one host to another, enabling the virus to spread rapidly. After the virus has been transported, it is then carried by humans and can be transported to other people through contact with saliva, mucus, and other bodily fluids."
26,315How does erosion cause soil to be degraded?,315,How does weathering cause rocks to break apart?,Natural Sciences,Social Sciences,How does erosion cause soil to be degraded?,Soil Science,"(rainwater, erodes, rocks) like (flooding, erodes, soil). (wind, carries, debris) like (wind, carries, sediment). (sunlight, breaks down, minerals) like (chemicals, break down, organic matter)","Weathering causes rocks to break apart over time. Rainwater erodes away at the rocks, and wind carries the debris away. Sunlight also helps to break down the minerals in the rocks. All of these processes work together to cause the gradual weathering of rocks.","Erosion of soil can cause its degradation. Flooding can erode soil, removing the top layers of the soil and causing it to become more compact. Wind can carry away sediment, reducing the soil's fertility. Furthermore, chemicals can break down organic matter, reducing the soil's ability to retain moisture and nutrients."," Erosion of soil occurs. Then, wind carries away sediment, reducing the soil's fertility. After the wind, flooding occurs, causing the top layers of the soil to be removed and the soil to become more compact. Finally, chemicals break down organic matter, reducing the soil's ability to retain moisture and nutrients."
27,607How can air pollution affect the environment?,607,Describe how acid rain can affect the environment.,Natural Sciences,Engineering,How can air pollution affect the environment?,Environmental Engineering,"(Acid rain, corrodes, buildings) like (Air pollution, corrodes, buildings). (Acid rain, damages, plants) like (Air pollution, damages, plants). (Acid rain, contaminates, soil) like (Air pollution, contaminates, soil)","Acid rain is a form of precipitation that contains higher levels of sulfuric and nitric acids. These acids can have a damaging effect on the environment. Acid rain corrodes buildings and other structures, damages plants, and contaminates the soil. It can also increase the acidity levels of lakes and streams, resulting in the death of aquatic life.","Air pollution has a significant impact on the environment. It can corrode buildings, damaging their structural integrity, and it can damage plants, reducing their ability to grow. Additionally, air pollution can contaminate the soil, making it less suitable for plants to grow."," Air pollution occurs. It then damages plants and reduces their ability to grow. Following this, air pollution corrodes buildings and damages their structural integrity. Finally, air pollution contaminates the soil, making it less suitable for plants to grow."
28,949How does the hydrological cycle work?,949,What happens during the water cycle?,Natural Sciences,Social Sciences,How does the hydrological cycle work?,Hydrology,"(rain, falls, to the earth) like (evaporation, rises, to the sky). (water, collects, in rivers) like (condensation, collects, in clouds). (water, evaporates, from surface) like (precipitation, falls, from atmosphere)","During the water cycle, rain falls from the atmosphere to the earth. The water then collects in rivers, lakes, and oceans. The sun's heat causes the water to evaporate from the surface and form clouds. The clouds move through the atmosphere and eventually the water condenses and falls to the earth as rain.","The hydrological cycle begins with evaporation, when water from the surface of the earth rises to the sky. Once the water vapor reaches the atmosphere it condenses and collects in clouds. The clouds eventually become saturated and the water droplets precipitate, or fall down from the atmosphere, back to the earth's surface."," The hydrological cycle begins with the clouds becoming saturated. Following this, water from the surface of the earth is evaporated. Once the water vapor reaches the atmosphere it condenses and collects in clouds. The clouds eventually become saturated again and the water droplets precipitate, or fall down from the atmosphere, back to the earth's surface."
29,369How does the human body obtain and use oxygen?,369,How do plants obtain and use water?,Natural Sciences,Natural Sciences,How does the human body obtain and use oxygen?,Human Biology,"(roots, absorb, water) like (lungs, absorb, oxygen). (water, travel through, xylem vessels) like (oxygen, travel through, capillaries). (transpiration, release, water vapor) like (exhalation, release, carbon dioxide)",Plants obtain water through their roots which absorb the water from the soil. The absorbed water then travels through the xylem vessels of the stem and reaches the leaves. The leaves then release the water vapor into the atmosphere through a process called transpiration.,"The human body obtains and uses oxygen in order to stay alive. When we breathe in, our lungs absorb oxygen from the air. This oxygen is then transported through the body via the capillaries. The oxygen is used by the cells in the body for energy and respiration. The byproduct of this process is carbon dioxide, which is released from the body through exhalation."," The human body breathes in and the lungs absorb oxygen from the air. This process leaves a byproduct, carbon dioxide, then the absorbed oxygen is transported through the body via the capillaries. Cells in the body use the oxygen for energy and respiration. Finally, carbon dioxide is released from the body through exhalation."
