,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph,random_target_paragraph
10,611Describe how viruses can cause disease.,611,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause disease.,Biomedical Engineering,"(bacteria, infect, host) like (viruses, infect, host). (bacteria, release, toxins) like (viruses, release, toxins). (bacteria, colonize, organs) like (viruses, colonize, cells)","Bacteria can cause disease by infecting their host. They do this by entering the host either through open wounds or through the airways. Once inside the host, the bacteria can release toxins which can cause damage to the host's organs and tissues. In some cases, bacteria can also colonize certain organs and cause further damage.","Viruses are able to cause disease through their ability to infect the host. Once they have infected the host, they can release toxins that cause cellular damage, resulting in disease. Additionally, the viruses can colonize the host's cells, taking over their normal functions and disrupting the normal functioning of the organism."," Viruses release toxins that cause cellular damage, resulting in disease. After causing disease, the viruses then infect the host. Following the infection, the viruses colonize the host's cells, taking over their normal functions and disrupting the normal functioning of the organism.","A seed or seeds planted into the ground.
The seed becomes a seedling and grows with water.
The sun.
The seedling grows into a mature plant.
Becomes a flower."
11,739How do birds and insects aid in pollination?,739,How do animals help plants disburse seeds?,Natural Sciences,Natural Sciences,How do birds and insects aid in pollination?,Natural Sciences,"(mammals, disperse, seeds) like (birds, disperse, pollen). (rodents, carry, acorns) like (bees, carry, nectar). (rabbits, bury, nuts) like (butterflies, spread, pollen)","Animals play an important role in helping plants disburse seeds. Mammals such as deer and squirrels are known to disperse seeds from fruits and vegetables. Rodents such as mice and rats are known to carry acorns, nuts, and other seeds around in their fur. Rabbits even have the habit of burying some of the nuts they find to help with seed disbursement.","Birds play an important role in aiding pollination by dispersing pollen from flower to flower. Bees are also key pollinators, since they collect nectar from flowers and carry it to other plants. Additionally, butterflies help spread pollen by landing on flowers and transferring the pollen from one flower to another."," Bees play a key role in pollination as they collect nectar from flowers and carry it to other plants. Following the bees, birds aid in pollination by dispersing pollen from flower to flower. Finally, butterflies also help in pollination by landing on flowers and transferring the pollen from one flower to another.","An animal eats a lot of food to fatten up.
The animal finds or builds a suitable place to hibernate where they can stay warm and protected.
The animal moves into their den.
Their heart rate and breathing slow down to conserve energy.
They emerge from the den when the weather is warming up again."
12,536How does the lymphatic system remove waste from the human body?,536,How does blood remove waste from the human body?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the lymphatic system remove waste from the human body?,Biomedical and Health Sciences,"(blood, transports, waste) like (lymphatic system, transports, waste). (red blood cells, absorb, toxins) like (lymphocytes, absorb, toxins). (kidneys, filter, impurities) like (lymph nodes, filter, impurities)","Blood transports waste away from the body. Red blood cells absorb toxins and other impurities and transport them to the kidneys, where they are filtered out and removed from the body.","The lymphatic system is responsible for transporting waste from the tissues of the body. It works by collecting excess fluids, proteins, and other molecules from the tissues and transporting them to the bloodstream. Lymphocytes, specialized cells in the lymphatic system, absorb toxins and impurities from the body. The lymph nodes then act as filters to remove any impurities from the lymphatic fluid before it is returned to the bloodstream."," The cleaned lymphatic fluid is returned to the bloodstream. Following this, the lymphatic system collects excess fluids, proteins, and other molecules from the tissues. Then, lymphocytes absorb toxins and impurities from the body. Finally, the lymph nodes act as filters to remove any impurities.","The inner portion of the ring is formed during rapid spring growth.
The tree's growth slows as the seasons change.
The ring's outer growth is more dense.
The growth of the tree pushes out the bark of the tree.
The tree stops growing quickly in the winter.
This seasonal ""pause"" in growth results in distinct rings in certain tree types."
13,1081How does a nuclear power plant work?,1081,How does a coal-fired power plant work?,Engineering,Engineering,How does a nuclear power plant work?,Nuclear Engineering,"(coal, combusts, heat) like (uranium, fissions, energy). (boiler, converts, thermal energy) like (reactor, converts, nuclear energy). (turbine, produces, electrical power) like (turbine, produces, electrical power)","A coal-fired power plant works by combusting coal to generate heat. The heat is then transferred to a boiler where it is converted into thermal energy. This thermal energy is used to create steam, which is passed through a turbine that produces electrical power. The turbine rotates, and as it does, it produces electrical power due to the conversion of the thermal energy generated from the combustion of the coal.","A nuclear power plant uses uranium, which undergoes a process of fission to generate energy. This energy is held in a reactor, which then converts the nuclear energy into heat. The heat is used to boil water, creating steam which is then directed to a turbine. The turbine produces mechanical energy, which is then converted into electrical power."," Uranium is used in a nuclear power plant and undergoes a process of fission to generate energy. The energy is held in a reactor. The steam is then directed to a turbine. Following this, the reactor converts the nuclear energy into heat. The heat is used to boil water, creating steam. The turbine then produces mechanical energy. Finally, the mechanical energy is converted into electrical power.","Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals."
14,769How do algae get the energy they need?,769,How do green plants get the energy they need?,Natural Sciences,Natural Sciences,How do algae get the energy they need?,Biology,"(sunlight, initiate, photosynthesis) like (sunlight, initiate, photosynthesis). (chlorophyll, absorb, sunlight) like (chlorophyll, absorb, sunlight). (carbon dioxide, combine with, water) like (carbon dioxide, combine with, water)","Green plants get their energy from the sun. Sunlight is used to initiate photosynthesis, the process by which plants create energy. Chlorophyll, the pigment found in plants, absorbs the sunlight and uses it to convert carbon dioxide and water into energy-rich molecules. The carbon dioxide and water combine to form carbohydrates, which are the main source of energy for the plant.","Algae gets the energy it needs from the sun. Sunlight initiates photosynthesis, which is the process in which algae convert sunlight into energy. Chlorophyll, which is the pigment in algae, absorbs the energy from the sunlight. Carbon dioxide and water then combine to form glucose, which is used by the algae for energy."," Chlorophyll, which is the pigment in algae, absorbs the energy from the sunlight. After absorbing the energy, algae receive sunlight. The sunlight then initiates photosynthesis in algae. Finally, carbon dioxide and water combine to form glucose, which is used by the algae for energy.","Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall."
15,300Describe how viruses can cause infection.,300,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause infection.,ioengineering,"(bacteria, invade, cells) like (viruses, invade, cells). (bacteria, produce, toxins) like (viruses, produce, proteins). (bacteria, replicate, rapidly) like (viruses, replicate, rapidly)","Bacteria are microscopic organisms that can invade cells and cause disease. Bacteria can produce toxins that can damage cells and cause inflammation. Once inside a cell, bacteria can replicate rapidly, leading to the spread of infection.","Viruses are microscopic particles that can invade and damage cells. Once inside a cell, viruses can produce proteins that allow them to replicate rapidly. This replication of the virus can lead to an infection."," Viruses replicate rapidly. Following replication, they invade and damage cells. After damaging the cells, viruses produce proteins inside the cell. Finally, the replication of the virus leads to an infection.","You gather a writing utensil and a piece of paper.
You use the writing utensil to compose your letter on the paper.
You fold the paper.
Place it into an envelope.
You write the address of the recipient on the outside of the envelope.
You seal the envelope with moisture or tape.
You apply a stamp to the outside of the envelope.
You put the envelope in a mailbox for a letter carrier to collect.
The letter carrier takes the envelope to the correct address."
16,384How does a bacteria cause infection?,384,How does a virus cause disease?,Biomedical and Health Sciences,Engineering,How does a bacteria cause infection?,Biomedical Engineering,"(virus, enters, cell) like (bacteria, enters, tissue). (virus, replicates, itself) like (bacteria, multiplies, itself). (virus, releases, toxins) like (bacteria, produces, toxins)","A virus enters a cell and begins to replicate itself. As the virus replicates, it releases toxins within the cell, which can cause damage and disrupt the normal functioning of the cell. This can lead to the development of a wide range of diseases, depending on the type of virus and the cell it has infected.","When bacteria enters the tissue, it multiplies itself and produces toxins. These toxins cause irritation and inflammation, resulting in infection. The bacteria can also damage the tissue, which can lead to infection."," When bacteria enters the tissue, these toxins cause irritation and inflammation, resulting in infection. After the infection, the bacteria multiplies itself and produces toxins. Finally, the bacteria also can damage the tissue, which can lead to another infection.","Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.
Chlorophyll absorbs the sun's energy.
It is this energy that is used to split water molecules into hydrogen and oxygen.
Oxygen is released from the leaves into the atmosphere.
Hydrogen and carbon dioxide are used to form glucose or food for plants."
17,516Describe the life cycle of the human body,516,Describe the life cycle of a frog,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of the human body,Biomedical and Health Sciences,"(egg, develops, tadpole) like (fetus, develops, baby). (tadpole, metamorphoses, frog) like (fetus, matures, adult). (frog, reproduces, eggs) like (adult, reproduces, zygote)","The life cycle of a frog begins with an egg, which develops into a tadpole. The tadpole then goes through metamorphosis, transforming into a frog. Once the frog has matured, it will reproduce and lay eggs, thus completing the cycle. The eggs develop into tadpoles, and the process begins again.","The life cycle of the human body begins when a zygote is produced by the reproductive process of an adult. The zygote then develops into a fetus and matures into a baby. The baby develops and grows until it matures into an adult. At this point, the adult can then reproduce and the cycle continues, with a new zygote developing into a fetus and maturing into a baby."," The baby develops and grows until it matures into an adult. At this point, a zygote is produced by the reproductive process of an adult. The zygote then develops into a fetus. The fetus matures into a baby. The adult can then reproduce and the cycle continues.","Solar radiation reaches Earth's atmosphere.
Some is reflected back into space.
The rest of the energy is absorbed by land and oceans, heating the Earth.
Heat radiates from Earth to space.
Some of this heat is trapped by greenhouse gases in the atmosphere.
Human activities such as burning fuel are increasing the amount of greenhouses gases.
This causes more heat radiation to stay trapped in our atmosphere.
The Earth's temperature rises."
18,844How does a pacemaker work?,844,How does an electromagnet work?,Engineering,Biomedical and Health Sciences,How does a pacemaker work?,Biomedical and Health Sciences,"(electromagnet, creates, magnetic field) like (pacemaker, generates, electrical impulse). (battery, supplies, electric current) like (battery, supplies, electric current). (coil, increases, magnetic field) like (electrode, increases, electric current)","An electromagnet creates a magnetic field when an electric current is supplied to it. This electric current is typically supplied by a battery. The electric current flows through the coil, which then concentrates and increases the magnetic field.","A pacemaker is a device that generates electrical impulses to regulate the heart rate. The battery supplies electric current to the pacemaker. The electrode then increases the electric current, which is then transmitted to the heart, causing it to contract. This helps to maintain a regular heartbeat."," The pacemaker, a device that generates electrical impulses, is ready. The increased electric current is then transmitted to the heart, causing it to contract and regulate the heartbeat. After the heart has started to contract, the battery supplies electric current to the pacemaker. Finally, the electrode increases the electric current.","One goes to a wilderness area.
One sets up a tent.
One puts their clothes, sleeping bag, etc. into the tent.
One gathers firewood.
One builds a fire for warmth, cooking, etc."
19,298How does a virus spread through a population?,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Social Sciences,How does a virus spread through a population?,Epidemiology,"(bacteria, infect, host) like (virus, infect, host). (bacteria, produce, toxins) like (virus, produce, toxins). (bacteria, cause, inflammation) like (virus, cause, inflammation)","Bacteria are microscopic organisms that can infect a host and cause disease. When the bacteria enter the body, they can produce toxins which can cause inflammation and damage to the cells. This can cause the body to become ill and can lead to serious complications if left untreated. Additionally, bacteria can cause infections in the body, leading to further problems.","A virus is able to spread through a population by first infecting a host. This host may be a person, animal, or insect. Once the virus has infected a host, it is able to reproduce and produce toxins and other materials that can cause inflammation. The virus is then able to spread to other hosts through contact or airborne particles."," A virus spreads to other hosts through contact or airborne particles. After spreading, the virus infects a host. Following the infection, the virus reproduces and produces toxins and other materials that cause inflammation.","The primary root breaks from the seed.
A shoot develops with a leaf.
The shoot breaks through the soil as a seedling.
The tree becomes a sapling when it gets taller than 3 ft.
The mature tree produces flowers or fruit.
Seeds are produced from the flowers or fruit.
A dead or dying tree is known as a snag."
20,1060How does a washing machine work?,1060,How does a dishwasher work?,Engineering,Engineering,How does a washing machine work?,Mechanical Engineering,"(water, flows, dishwasher compartment) like (water, flows, washing machine drum). (detergent, dissolves, soil particles) like (detergent, dissolves, dirt particles). (spray arms, rotate, dishes) like (agitator, rotates, clothes)","When a dishwasher is turned on, water flows from the water line into the dishwasher compartment. The water is then mixed with the detergent, which helps dissolve the soil particles on the dishes. The spray arms then rotate and spray the water and detergent mixture onto the dishes, cleaning them.","A washing machine works by allowing water to flow into the washing machine drum. The detergent then dissolves and lifts dirt particles from the clothes. The agitator then rotates the clothes to help remove any stubborn dirt particles. The detergent also helps to break down the dirt particles so that they can be washed away. The rotation of the agitator helps to further break down the dirt particles, allowing them to be washed away with the water."," The washing machine works by allowing water to flow into the drum. Then, the agitator rotates the clothes to help remove any stubborn dirt particles. After the agitation, the detergent is added to dissolve and lift dirt particles from the clothes. The detergent also helps to break down the dirt particles so that they can be washed away. Finally, the rotation of the agitator helps to further break down dirt particles, allowing them to be washed away with the water.","Techtonic plates in the earths crust move.
Movement creates fissures.
Upheavals in the crust.
Fissures allow lava to erupt into volcanoes at the surface.
Volcanoes erupt, accumulating lava, forming mountains.
Upheavals in the crust become their own mountains."
21,1195How does a robot arm get a ball?,1195,How does an eagle get food?,Natural Sciences,Engineering,How does a robot arm get a ball?,Robotics Engineering,"(eagle, spots, prey) like (robot arm, spots, ball). (eagle, dives, towards prey) like (robot arm, moves, towards ball). (eagle, grabs, prey with talons) like (robot arm, grabs, ball with gripper)","An eagle spots its prey from a distance and dives towards it. The eagle then grabs the prey with its sharp talons. Once the eagle has a grip on the prey, it carries it off to a safe place to eat.","The robot arm first spots the ball. Then, it moves towards the ball. The robot arm has a gripper which it uses to grab the ball. The gripper is connected to the robot arm, allowing it to move the ball once it has been grabbed."," The robot arm first spots the ball. Then, it uses its gripper to grab the ball. After grabbing the ball, it moves towards the ball. Finally, the gripper, connected to the robot arm, moves the ball.","Animals may come across vegetation.
The animal may consume or get seeds stuck in their fur.
The animal travels some distance someplace else.
The seeds are dropped or deposited off.
The seeds have a new place to proliferate and grow."
22,643Describe the metamorphosis of a butterfly,643,Describe the life cycle of a frog,Natural Sciences,Natural Sciences,Describe the metamorphosis of a butterfly,Entomology,"(egg, develops into, tadpole) like (egg, develops into, caterpillar). (tadpole, grows into, adult frog) like (caterpillar, grows into, adult butterfly). (frog, lays, eggs) like (butterfly, lays, eggs)","The life cycle of a frog begins with an egg. The egg then develops into a tadpole, which is a small aquatic larva. As the tadpole grows, it develops hind legs and later front legs and eventually grows into an adult frog. The adult frog then lays eggs, which starts the cycle again.","The metamorphosis of a butterfly begins with the egg, which develops into a caterpillar. The caterpillar then grows into an adult butterfly, which is able to lay eggs. Finally, the butterfly lays eggs, beginning the cycle anew."," The caterpillar grows into an adult butterfly. Then, the butterfly lays an egg. After the egg is laid, it develops into a caterpillar. Finally, the adult butterfly lays eggs, beginning the cycle anew.","A seed is planted.
It becomes a seedling.
The seedling grows into a full-grown plant.
The plant releases some kind of pollenating product.
The plant either self-pollinates or is spread by insects or birds.
Seeds are planted.
The cycle begins again."
23,769How do solar panels get the energy they need?,769,How do green plants get the energy they need?,Natural Sciences,Engineering,How do solar panels get the energy they need?,Electrical Engineering,"(chlorophyll, absorbs, sunlight) like (solar cells, absorbs, sunlight). (photosynthesis, converts, light energy) like (photovoltaics, converts, light energy). (oxygen, released, into the atmosphere) like (electricity, released, into the power grid)","Green plants rely on the process of photosynthesis to get the energy they need. Chlorophyll, which is found in the leaves of green plants, absorbs the energy of the sun's light and converts it into energy that can be used by the plant. This light energy is used to convert water and carbon dioxide into glucose and oxygen, with the oxygen being released into the atmosphere.","Solar panels are made up of solar cells that absorb sunlight. The photovoltaic process inside the solar cells then converts the light energy into electricity, which is then released into the power grid. This electricity can then be used to power various devices and appliances."," Solar panels, made of solar cells, absorb sunlight. The absorbed sunlight is then immediately released into the power grid as electricity. After being released into the grid, the light energy is then converted into electricity through the photovoltaic process inside the solar cells. Finally, the electricity from the grid is used to power various devices and appliances.","Carbon dioxide from the air passes through small pores (holes) in the leaves.
These pores are called stomata.
Water is absorbed by the roots.
It passes through vessels in the stem on its way to the leaves.
Sunlight is absorbed by a green chemical in the leaves."
