,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,predicted_label
16,526Describe the lifespan of a culture,526,Describe the life cycle of a human,Biomedical and Health Sciences,Social Sciences,Describe the lifespan of a culture,Social Anthropology,"(individual, grows, physical maturity) like (culture, develops, social complexity). (person, experiences, changes in life) like (culture, experiences, changes in values). (human, reaches, end of life) like (culture, reaches, end of cycle)","The life cycle of a human begins with the birth of an individual. As the individual grows, they reach physical maturity. Throughout their life, the person experiences changes such as growth, aging, and the development of new skills. Eventually, the human will reach the end of life, at which point the cycle is complete.","Culture is a system of shared beliefs, values, and practices that develop over time into social complexity. As a culture matures, it will experience shifts in values and norms. Eventually, the culture will reach a point where it is no longer sustainable and will come to the end of its cycle.",,1
20,36How does a glacier form?,36,How does igneous rock form?,Natural Sciences,Natural Sciences,How does a glacier form?,Geology,"(magma, cools and solidifies, igneous rock) like (snow, accumulates and compacts, glacier). (molten materials, mix and crystallize, igneous rock) like (snowflakes, freeze and combine, glacier). (volcanic eruptions, ejects, igneous rock) like (snow fall, deposits, glacier)","Igneous rock is formed when magma cools and solidifies. During this process, molten materials mix and crystallize to form igneous rock. This process can also occur during volcanic eruptions, where molten material is ejected from below the surface, forming igneous rock.","A glacier is formed when snow accumulates and compacts over time. When the snowflakes freeze and combine together, a glacier starts to form. The process is accelerated by the amount of snow fall that deposits on the glacier. As more and more snow accumulates, the glacier grows in size.",,1
21,919What causes a volcano to erupt?,919,What causes an earthquake to occur?,Natural Sciences,Natural Sciences,What causes a volcano to erupt?,Geology,"(fault lines, shift, tectonic plates) like (volcanic vents, shift, magma chambers) (tectonic plates, collide, seismic waves) like (magma chambers, collide, lava flows) (stress, builds up, rocks) like (pressure, builds up, molten rock)","Earthquakes occur when tectonic plates shift along fault lines. The sudden movement of the plates causes a release of energy, which then translates into seismic waves. Earthquakes can be triggered by the movement of the tectonic plates, which can cause tremendous destruction and damage.","Volcano eruptions are caused by shifting volcanic vents that allow magma from deep within the earth to flow up to the surface. This shift is often caused by the movement of tectonic plates, as they collide and create seismic waves. The seismic waves cause pressure to build up in the magma chambers, eventually leading to an eruption.",,2
22,1143Describe how pollution can negatively affect aquatic life,1143,Describe how forest fires can negatively affect animals,Natural Sciences,Biomedical and Health Sciences,Describe how pollution can negatively affect aquatic life,Biomedical and Health Sciences,"(forest fires, release, toxic substances) like (pollution, release, hazardous chemicals). (heat, burn, fur) like (chemicals, poison, gills). (smoke, cause, respiratory problems) like (toxicants, cause, organ failure)","Forest fires can have a devastating impact on animals living in the area. The intense heat from the fire can burn the fur of animals, leading to potential long-term health issues. In addition, forest fires release toxic substances into the environment, which can cause respiratory problems for animals. Animals can be exposed to dangerous levels of smoke and ash, leading to further health issues.","Pollution can have devastating effects on aquatic life. Pollution can release hazardous chemicals into the water which can poison the gills of fish and other aquatic animals. Additionally, toxicants from pollution can cause organ failure in aquatic creatures. The effects of pollution on aquatic life can be catastrophic and long-lasting.",,2
23,459How does ozone depletion occur?,459,How does acid rain form?,Natural Sciences,Natural Sciences,How does ozone depletion occur?,Atmospheric Science,"(sulphur dioxide, combines with, water vapor) like (chlorine compounds, combines with, oxygen). (acidic particles, form, acid rain) like (ozone, depletes, stratospheric layer). (nitrogen oxides, react with, atmospheric oxygen) like (ultraviolet radiation, react with, ozone)","Acid rain is formed when sulphur dioxide combines with water vapor in the atmosphere. The combination of these two elements creates acidic particles which then form acid rain. Nitrogen oxides also contribute to acid rain formation, as they react with atmospheric oxygen to form nitrogen dioxide and other acidic compounds.","Ozone depletion occurs when chlorine compounds, such as chlorofluorocarbons, combine with oxygen, forming ozone-depleting substances. These substances are then transported to the stratospheric layer, where they interact with ultraviolet radiation, causing the ozone to deplete. This results in a decrease in the ozone layer, leading to more ultraviolet radiation being able to pass through.",,1
25,141How does an aircraft engine work?,141,How do the lungs work?,Biomedical and Health Sciences,Engineering,How does an aircraft engine work?,Aerospace Engineering,"(breathing, draws in, oxygen) like (propellers, draws in, air). (alveoli, absorb, oxygen) like (compressor, compress, air). (bronchi, exhale, carbon dioxide) like (combustion chamber, combusts, fuel)","When we breathe, we draw in oxygen from the atmosphere which enters the lungs. The oxygen then flows through the bronchi and into the alveoli. The alveoli are small air sacs that are responsible for absorbing the oxygen into the bloodstream. The air we exhale contains carbon dioxide, which is passed through the bronchi and out of the lungs.","An aircraft engine works by drawing in air with the propellers. The air then passes through a compressor which compresses it. The compressed air is then heated by a combustion chamber, where fuel is combusted. The reaction of combustion creates high-pressure gases which are used to power the engine.",,1
26,519Describe how people interact in a community,519,Describe the life cycle of a fish,Natural Sciences,Social Sciences,Describe how people interact in a community,Sociology,"(eggs, hatch, fry) like (children, grow, adults). (fry, become, adults) like (children, develop, adults). (adults, reproduce, eggs) like (adults, form, relationships)","The life cycle of a fish begins when adults reproduce and lay eggs. The eggs hatch into fry, which are young fish. As the fry grow, they become adults and eventually reach reproductive maturity. At this point, the adults are able to reproduce and lay eggs, beginning the cycle again.","In a community, children grow into adults and develop into responsible citizens. Adults form meaningful relationships with each other, providing support and guidance to their families, friends, and neighbors. Through these relationships, adults model positive behaviors to children and teach them important values.",,1
27,555How does a home thermostat regulate the temperature?,555,How does the body control its blood sugar level?,Biomedical and Health Sciences,Engineering,How does a home thermostat regulate the temperature?,Electrical Engineering,"(insulin, regulates, glucose levels) like (thermostat, regulates, temperature). (pancreas, produces, insulin) like (heater, produces, heat). (liver, stores, glucose) like (cooler, stores, cold air)","The body regulates its blood sugar level by producing insulin. The pancreas is responsible for producing insulin, which helps to regulate the levels of glucose in the body. The liver also plays an important role in this process, as it stores glucose and releases it into the bloodstream when needed. The combination of insulin production, glucose storage, and glucose release helps to keep the body's blood sugar levels in check.","A home thermostat is used to regulate the temperature of a space. It is designed to sense the temperature and turn the heating or cooling system on or off when necessary. When the temperature drops below the set temperature, the thermostat will activate the heater which produces heat to increase the temperature. Similarly, when the temperature rises above the set temperature, the thermostat will activate the cooler which stores cold air to reduce the temperature.",,2
30,627Describe how the immune system works,627,Describe how the pancreas works,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe how the immune system works,Biomedical and Health Sciences,"(pancreas, produces, hormones) like (immune system, produces, antibodies). (pancreas, stores, insulin) like (immune system, stores, memory cells). (pancreas, regulates, digestion) like (immune system, regulates, immunity)","The pancreas is an organ that plays a major role in digestion. It produces hormones such as insulin and glucagon, which are important for regulating the body's metabolism and blood sugar levels. It also stores insulin, which helps to regulate the body's blood sugar and break down carbohydrates, proteins and fats. All of these functions are necessary for proper digestion.",The immune system is a complex system that produces antibodies to fight off invading pathogens. It works by storing memory cells which then recognize and respond to antigens. These memory cells are responsible for regulating immunity so that the body can fight off further infection. Antibodies are produced when the immune system recognizes a foreign antigen and the memory cells are activated to create a specific response to the antigen.,,1
31,589Describe the steps in the life cycle of a virus,589,Describe the lifecycle of a butterfly,Natural Sciences,Social Sciences,Describe the steps in the life cycle of a virus,Biomedical and Health Sciences,"(Butterfly, hatches, from an egg) like (Virus, emerges, from a host). (Butterfly, pupates, inside a cocoon) like (Virus, replicates, inside a cell). (Butterfly, matures, into an adult) like (Virus, matures, into a new strain)","The life cycle of a butterfly begins when it hatches from an egg. The newly hatched butterfly is called a caterpillar and it quickly grows in size. When it has reached its full size, the caterpillar pupates inside a cocoon. After a period of time, the caterpillar matures into an adult butterfly. The adult butterfly is now able to reproduce and start the cycle again.","The life cycle of a virus begins when it emerges from a host. It then replicates inside a cell, where it matures into a new strain. After this process, the newly formed viruses are released from the host, completing the life cycle.",,1
33,642Describe the life cycle of a human,642,Describe the life cycle of a frog,Natural Sciences,Social Sciences,Describe the life cycle of a human,Social Sciences,"(egg, develops, tadpole) like (fetus, develops, infant). (tadpole, matures, frog) like (infant, matures, adult). (frog, lays, eggs) like (adult, produces, offspring)","The life cycle of a frog begins when the female frog lays her eggs. The egg then develops into a tadpole, which has a tail and gills to breathe underwater. As the tadpole matures, it grows legs, develops lungs, and its tail shrinks until it becomes a frog. The newly transformed frog then begins its own life cycle by laying eggs of its own.","A human life cycle starts with a fetus developing in the womb. During this stage, the fetus is growing and developing the organs and systems it needs to survive. Eventually, the fetus matures into a newborn infant. The infant begins to learn and grow, eventually maturing into an adult. As an adult, the human is able to produce offspring of their own, thus completing the life cycle.",,2
34,782How do viruses use human cells to spread their genetic material?,782,How do plants use animals to help disburse their seeds?,Natural Sciences,Biomedical and Health Sciences,How do viruses use human cells to spread their genetic material?,Biomedical and Health Sciences,"(plants, disperse, seeds) like (viruses, disperse, genetic material). (birds, carry, seeds) like (human cells, carry, genetic material). (wind, blow, seeds) like (air, blow, viruses)","Plants disperse their seeds in several ways. One of those ways is through animals. Birds, for example, will carry seeds away from the parent plant and deposit them in new areas. The wind can also help disburse the seeds, as it can blow them away from the plant.","Viruses disperse their genetic material by hijacking human cells and using them to replicate. The genetic material of a virus is carried inside human cells, and they use the cell's resources to rapidly reproduce. In some cases, air currents can blow the viruses from one host to another, allowing the viruses to spread their genetic material to new hosts.",,2
35,1105How do coral reefs form?,1105,How do mountains form?,Natural Sciences,Natural Sciences,How do coral reefs form?,Marine Biology,"(tectonic plates, move against, each other) like (waves, move against, coral reefs). (sediment, accumulate, in valleys) like (calcium carbonate, accumulate, in coral reefs). (plates, collide, forming mountains) like (currents, collide, forming coral reefs)","Mountains form through the movement of tectonic plates against each other. The plates create tension and pressure, which can cause them to collide and form mountains. As the plates move, sediment accumulates in valleys, which can eventually form high mountain peaks. The collision of the plates creates a force that pushes up the sediment, forming mountains.","Coral reefs are formed when waves move against the seafloor. The process of erosion and sedimentation causes calcium carbonate to accumulate in coral reefs. In addition, currents in the ocean collide, forming coral reefs. The coral reefs are further built up by the accumulation of calcium carbonate, which is released by the waves.",,2
36,1224How does a chemical reactor work?,1224,How does a nuclear power plant work?,Engineering,Biomedical and Health Sciences,How does a chemical reactor work?,Chemical Engineering,"(nuclear fission, produces, heat energy) like (chemical reaction, produces, thermal energy). (fuel rod, absorbs, neutrons) like (catalyst, absorbs, reactants). (coolant, transports, heat) like (solvent, transports, reactants)","A nuclear power plant works by harnessing the energy released from nuclear fission. Nuclear fission is a process in which atoms are split, releasing large amounts of heat energy. Fuel rods absorb neutrons, which causes nuclear fission. The heat energy produced is transferred to the coolant which then transports it throughout the power plant.","A chemical reaction takes place inside a chemical reactor, which produces thermal energy. The catalyst absorbs the reactants, which then react with each other to form the product. A solvent is also used to transport the reactants, allowing them to come into contact and react with each other. The reaction produces thermal energy, which is then used to power the reactor.",,2
37,920How does a political system influence public opinion?,920,What causs a volcano to erupt?,Natural Sciences,Social Sciences,How does a political system influence public opinion?,Political Science,"(magma, rises, earth's surface) like (ideas, rises, collective consciousness). (tectonic plates, move, each other) like (people, move, each other). (gas pressure, builds up, magma chamber) like (opinion pressure, builds up, public opinion)","Volcanic eruptions occur when magma rises up to the earth's surface. This movement is caused by tectonic plates which move against each other, creating pressure in the magma chamber. As the pressure builds up, the magma is forced out of the chamber, resulting in an eruption.","Political systems can influence public opinion by creating an environment where ideas can rise in the collective consciousness. People are connected to each other, and their opinions can move between them. As a result, opinion pressure builds up and shapes public opinion. This is done through the media, political campaigns, and other forms of communication.",,1
39,1265How do humans construct a shelter?,1265,How does a bird build a nest?,Natural Sciences,Social Sciences,How do humans construct a shelter?,Sociology,"(bird, collects, sticks) like (humans, collects, building materials) . (bird, weaves, twigs) like (humans, puts together, bricks) . (bird, lines, nest) like (humans, insulates, shelter)","A bird builds a nest by first collecting sticks and twigs. These are then woven together to form the basic structure. To provide additional stability and insulation, the bird then lines the nest with soft materials like grass, moss, and feathers. The bird carefully arranges the sticks and twigs and lines the nest until it is complete.","Humans construct a shelter by collecting the necessary building materials. These materials are then put together in a manner that creates a structure. Bricks are usually used to create the walls of the shelter, and other materials such as wood and steel are used to create the roof. To insulate the shelter, humans use materials such as insulation foam, glass wool, and plastic sheeting.",,2
40,658Describe the life cycle of a virus,658,Describe the lifecycle of a butterfly,Natural Sciences,Natural Sciences,Describe the life cycle of a virus,Virology,"(butterfly, hatches, from an egg) like (virus, emerges, from an infected host). (butterfly, feeds, on nectar) like (virus, replicates, within a host cell). (butterfly, forms, a cocoon) like (virus, sheds, its outer layer). (butterfly, emerges, as an adult) like (virus, disperses, through the environment)","The lifecycle of a butterfly begins when it hatches from an egg. The caterpillar feeds on nectar and grows in size. When it has reached its full size, it forms a cocoon in which it undergoes metamorphosis. The butterfly emerges as an adult and can fly away.","The life cycle of a virus begins when the virus emerges from an infected host. The virus then replicates within a host cell, producing hundreds of copies of itself. Once the virus is done replicating, it sheds its outer layer, exposing the newly created viruses. Finally, the viruses disperse through the environment, thus completing the life cycle.",,1
41,794How does a mechanical ventilation system work?,794,How do the lungs work?,Biomedical and Health Sciences,Engineering,How does a mechanical ventilation system work?,Mechanical Engineering,"(lungs, inhale, oxygen) like (ventilation system, draw in, air). (diaphragm, contracts, chest cavity) like (motor, expands, chamber). (blood vessels, absorb, oxygen) like (air filters, capture, particles)","The lungs are responsible for inhaling oxygen. When we inhale, the diaphragm contracts and expands the chest cavity. This expansion causes air to be drawn into the lungs. The oxygen is then absorbed by the blood vessels in the lungs and circulated throughout the body. The diaphragm then relaxes and the chest cavity shrinks, expelling the remaining air from the lungs.",A mechanical ventilation system works by drawing in air from the outside. This air is sent through a motor that expands a chamber and forces the air through air filters. These air filters help capture any particles or contaminants that may be in the air. The motor then compresses the air and sends it back out into the environment.,,2
42,641Describe the life cycle of a virus,641,Describe the life cycle of a frog,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of a virus,Biomedical and Health Sciences,"(egg, develops, tadpole) like (host cell, develops, viral particles). (tadpole, matures, adult frog) like (viral particles, replicate, new viruses). (adult frog, lays, eggs) like (viruses, spread, to new hosts)","The life cycle of a frog starts with the egg. This egg develops into a tadpole, which has a tail and gills to help it survive in water. As the tadpole matures, it transitions into an adult frog with four legs and lungs allowing it to move onto land. The adult frog then lays eggs, restarting the life cycle of the frog.","The life cycle of a virus begins when it infects a host cell. This triggers the host cell to develop viral particles. The viral particles then replicate, creating new viruses. These viruses are then able to spread to new hosts, restarting the life cycle.",,1
43,212How does evaporation form clouds?,212,How does rain occur?,Natural Sciences,Natural Sciences,How does evaporation form clouds?,Meteorology,"(water vapor, rises, atmosphere) like (rain, falls, ground). (condensation, creates, droplets) like (evaporation, creates, clouds). (temperature, affects, precipitation rate) like (humidity, affects, evaporation rate)","Rain occurs when water vapor in the atmosphere rises and cools. The cooling causes condensation which creates tiny droplets of water that form clouds. As the droplets become too heavy to stay suspended in the air, they fall as precipitation. The temperature of the atmosphere affects the rate of precipitation.","Rain falls to the ground and evaporates into the atmosphere. This process of evaporation creates clouds in the sky. The evaporation rate is affected by the humidity in the air, which controls the amount of water vapor that is released into the atmosphere.",,2
44,1137How does the human immune system respond to a pathogen?,1137,How do owls hunt at night?,Natural Sciences,Biomedical and Health Sciences,How does the human immune system respond to a pathogen?,Biomedical and Health Sciences,"(owls, use, sound waves) like (immune system, use, antibodies). (owls, detect, prey) like (immune system, detect, pathogens). (owls, swoop, prey) like (immune system, attack, pathogens)","Owls hunt at night by using sound waves. Their ears are sensitive to the slightest sound, allowing them to detect their prey. Once the prey is located, the owl will swoop down and capture it with their talons. Their ears also help them to locate their prey by amplifying sound waves, allowing them to hone in on the exact location of their intended target.","The human immune system is a complex system that uses various antibodies to detect and attack pathogens. It is designed to sense the presence of foreign substances and respond quickly to protect the body. When a pathogen enters the body, the immune system recognizes it and produces antibodies that can bind to the pathogen. These antibodies then attack the pathogen to prevent it from causing further harm.",,1
45,397How does a solar powered power station generate electricity?,397,How does a wind-powered power station generate electricity?,Engineering,Engineering,How does a solar powered power station generate electricity?,Solar Engineering,"(wind turbine, converts, kinetic energy) like (solar panel, converts, solar energy). (rotor, spins, generator) like (solar cells, generate, electricity). (blade, captures, wind) like (photovoltaic cells, capture, sunlight)","A wind-powered power station generates electricity by converting the kinetic energy of the wind into electrical energy. The wind turbine consists of a rotor with blades that capture the wind, causing the rotor to spin. The rotor is connected to a generator which transforms the kinetic energy into electricity. The electricity is then sent to a power grid for distribution.","A solar powered power station works by converting solar energy into electricity. Solar cells, which are made up of photovoltaic cells, capture sunlight and generate electricity. The solar panel on the power station contains the solar cells, which absorb the energy from the sun and convert it into electricity. The electricity generated by the solar cells is then used to power the station.",,2
46,917What causes a volcanic eruption to occur?,917,What causes an earthquake to occur?,Natural Sciences,Natural Sciences,What causes a volcanic eruption to occur?,Earth Sciences,"(tectonic plates, collide, Earth's surface) like (magma chamber, builds up pressure, Earth's surface). (fault line, shift, seismic waves) like (volcano, releases, lava). (earthquake, disrupts, landmass) like (eruption, disrupts, environment)","An earthquake is caused by the collision of tectonic plates on the Earth's surface. The movement of these plates can cause a shift in a fault line, which releases seismic waves that travel through the Earth. These seismic waves can disrupt the landmass, resulting in an earthquake.",A volcanic eruption occurs when pressure builds up in the magma chamber beneath the Earth's surface. The pressure increases until it eventually causes the volcano to erupt and release lava. The eruption is a powerful event that can greatly disrupt the environment and cause destruction.,,2
47,264How does the photosynthesis process work?,264,How does recycling work?,Engineering,Natural Sciences,How does the photosynthesis process work?,Biology,"(recycling, reduces, waste) like (photosynthesis, reduces, carbon dioxide). (materials, reused, products) like (sunlight, converted, glucose). (plastic, broken down, small particles) like (carbon dioxide, broken down, oxygen)","Recycling is a process that reduces the amount of waste that is sent to landfills. This process involves collecting materials and then reusing them to make products. For example, plastic is broken down into small particles and then melted before it is used to make new products. The recycling process helps to reduce the amount of waste that is created and helps to conserve natural resources.",Photosynthesis is a process that reduces carbon dioxide. The energy from the sun is collected by the plant and converted into glucose. The carbon dioxide is broken down into oxygen and glucose through the process of photosynthesis. The oxygen is released into the atmosphere while the glucose is used as energy by the plant.,,1
48,942How does an internal combustion engine work?,942,What happens during respiration?,Biomedical and Health Sciences,Engineering,How does an internal combustion engine work?,Mechanical Engineering,"(lungs, take in, oxygen) like (cylinder, take in, fuel). (diaphragm, contracts, chest cavity) like (piston, contracts, cylinder). (oxygen, combines with, glucose) like (fuel, combines with, air). (carbon dioxide, expelled, lungs) like (exhaust, expelled, tailpipe)","During respiration, the lungs take in oxygen from the air. The diaphragm contracts and relaxes, which increases and decreases the size of the chest cavity. The oxygen then combines with glucose to produce energy. At the same time, carbon dioxide is expelled from the lungs.","An internal combustion engine works by taking in fuel inside a cylinder. The piston inside the cylinder then contracts and expands, compressing the fuel and air mixture inside. The fuel combines with the air, and the resulting combustion is what powers the engine. The exhaust from the combustion is then expelled through a tailpipe.",,2
49,1030How does a solar system of energy generation works?,1030,Describe the process of using oil to heat a house.,Engineering,Engineering,How does a solar system of energy generation works?,Electrical Engineering,"(burner, combusts, oil) like (photovoltaic cells, convert, sunlight). (heat, produced, air) like (electricity, produced, wires). (thermostat, regulates, temperature) like (inverter, regulates, current)","The process of using oil to heat a house begins with a burner that combusts the oil. This combustion of oil produces heat which is then used to warm the air in the house. A thermostat is used to regulate the temperature of the house by controlling the flow of oil to the burner. The thermostat will adjust the amount of oil that is combusted, which in turn will regulate the temperature of the house.","A solar system of energy generation works by using photovoltaic cells to convert sunlight into electricity. The electricity is then transferred through wires to the inverter, which regulates the current. The inverter then converts the direct current into alternating current, which can be used to power appliances and devices.",,1
51,699Describe the process of composting food waste,699,Describe the process of recycling an aluminum can,Engineering,Social Sciences,Describe the process of composting food waste,Environmental Science,"(aluminum can, collect, recycled material) like (food waste, collect, organic matter) . (collection center, accept, aluminum can) like (compost heap, accept, food waste) . (melting furnace, heat, aluminum can) like (microorganisms, break down, food waste)","The process of recycling an aluminum can starts with the collection of recycled materials. An aluminum can is then collected and taken to a designated collection center for recycling. At the center, the aluminum can is accepted and then sent to a melting furnace. The melting furnace heats the aluminum can at a high temperature to help break down the material. The molten aluminum is then recast into new products.","Composting food waste is a simple process that can help reduce the amount of waste sent to landfills. Food waste is collected and added to a compost heap, which is a structure that is designed to accept organic matter. Once the food waste is in the compost heap, microorganisms will break down the waste and turn it into compost. The microorganisms use the nutrients from the food waste to produce energy and break down the waste into its nutrient-rich components. The resulting compost can then be used as a soil amendment to help improve the fertility of the soil.",,1
