,Unnamed: 0,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,sum_vote_analogy,analogy_type,not_analogy_reasons,is_train,count_annotations,target_events_order,target_new_events_order,explanation,new_paragraph
29,422,186How does a fungus reproduce?,186,How does mold grow on bread?,Natural Sciences,Natural Sciences,How does a fungus reproduce?,Biology,"(mold, absorbs, moisture) like (fungus, absorbs, nutrients)
 (mold, produces, spores) like (fungus, produces, spores)
 (mold, releases, toxins) like (fungus, releases, toxins)","Mold grows on bread when it absorbs moisture in the air.
 Once the mold attaches it begins to produce spores that can spread to other areas.
 The mold releases toxins that can cause the bread to rot and become inedible.","Fungus reproduces by absorbing nutrients from its environment. It then produces spores, which are released into the environment. These spores spread and can cause an infection. Additionally, fungi can release toxins into the environment, which can further damage the surrounding environment.",3.0,close analogy,,,,"[1]: Fungus absorbs nutrients from its environment.
[2]: The fungus produces spores.
[3]: The spores are released into the environment.
[4]: The spores spread and may cause infection.
[5]: Fungi release toxins into the environment, which can cause further damage.","[1]: Fungus absorbs nutrients from its environment.
[2]: The spores spread and may cause infection.
[3]: The fungus produces spores.
[4]: The spores are released into the environment.
[5]: Fungi release toxins into the environment, which can cause further damage.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The fungus produces spores."" must occur before ""[3]: The spores are released into the environment."" and ""[4]: The spores spread and may cause infection."" because spores have to be produced first before they can be released and spread, possibly causing an infection. Hence, shifting ""The spores spread and may cause infection."" to be before ""The fungus produces spores."" in the NEW_PARAGRAPH_ORDER is illogical, as the spores cannot spread and cause infection if they have not been produced yet.","[1] The fungus absorbs nutrients from its environment. [2] Then, the spores spread and may cause infection. [3] After the spores have spread, the fungus produces spores. [4] These spores are then released into the environment. [5] Finally, fungi release toxins into the environment, which can cause further damage."
30,522,229How does a levee prevent rising water levels?,229,How do dams help stop flooding?,Engineering,Natural Sciences,How does a levee prevent rising water levels?,Hydrology,"(dam, blocks, river flow) like (levee, blocks, rising water levels)
 (reservoir, stores, water) like (levee, stores, flood water)
 (sluice gates, control, water levels) like (flood gates, control, water levels)","Dams are constructed to help stop flooding by blocking the flow of a river.
 The dam creates a reservoir that stores the water, enabling it to be released slowly.
 Sluice gates are used to control the water levels, allowing for the water to be released when necessary.","A levee is designed to block rising water levels from flooding an area.
 It is constructed to be higher than the expected water level, and it stores any flood water which rises above the levee's height.
 In addition, flood gates can be used to control the water levels, allowing for the release of water in a controlled manner.",3.0,close analogy,,,,"[1]: A levee is designed and constructed.
[2]: The water level rises above the levee's height.
[3]: The levee stores the flood water. 
[4]: Flood gates control the water levels by releasing water in a controlled manner.","[1]: The water level rises above the levee's height.
[2]: A levee is designed and constructed.
[3]: The levee stores the flood water.
[4]: Flood gates control the water levels by releasing water in a controlled manner.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: A levee is designed and constructed."" must happen before ""[2]: The water level rises above the levee's height."" That's because a levee needs to be in place first before it can block or store any rising water. In the new order, the water rises before the levee is constructed, which is illogical because there's no levee to control the water.","[1] The water level rises above the levee's height. [2] After the water has risen, a levee is designed and constructed. [3] Once the levee is in place, it stores the flood water. [4] Finally, flood gates control the water levels by releasing water in a controlled manner."
31,551,252How do the layers of sedimentary rocks form?,252,How do rings form inside the trunk of a tree?,Natural Sciences,Natural Sciences,How do the layers of sedimentary rocks form?,Geology,"(growth rings, form, in tree trunk) like (sedimentary layers, form, in rock)
 (tree rings, appear, in response to seasonal weather changes) like (sedimentary layers, appear, in response to environmental changes)
 (tree rings, represent, seasons of growth) like (sedimentary layers, represent, periods of time)","Growth rings form in response to seasonal weather changes in the tree trunk. These tree rings appear as a result of differing growth rates in the xylem of the tree. Tree rings represent the seasonal changes in growth, with wider rings representing years of plentiful growth, and narrower rings representing years with less growth.","Sedimentary layers form in rock in response to environmental changes such as fluctuations in temperature or changes in sea level.
 These layers appear in response to the environmental changes and represent different periods of time.
 Each sedimentary layer is a snapshot of a period in the rock's history, allowing us to gain insight into the changes that have occurred over time.",3.0,close analogy,,,,"[1]: Environmental changes such as fluctuations in temperature or changes in sea level occur.
[2]: Sedimentary layers form in rock in response to the environmental changes.
[3]: These layers represent different periods of time.
[4]: Each sedimentary layer is a snapshot of a period in the rock's history providing insight into changes that have occurred over time.","[1]: Sedimentary layers form in rock.
[2]: Environmental changes such as fluctuations in temperature or changes in sea level occur.
[3]: These layers represent different periods of time.
[4]: Each sedimentary layer is a snapshot of a period in the rock's history providing insight into changes that have occurred over time.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: Environmental changes such as fluctuations in temperature or changes in sea level occur."" must happen before ""[2]: Sedimentary layers form in rock in response to the environmental changes."" because the environmental changes cause the formation of the sedimentary layers. If the sedimentary layers form before the environmental changes happen, the layers could not have formed in response to the changes. Hence, it is illogical.","[1] Sedimentary layers form in rock. [2] Following this, environmental changes such as fluctuations in temperature or changes in sea level occur. [3] These layers then represent different periods of time. [4] Each sedimentary layer is a snapshot of a period in the rock's history, providing insight into changes that have occurred over time."
32,562,253How do bacteria utilize viruses to help spread their genetic material?,253,How do plants use animals to help disburse their seeds?,Natural Sciences,Biomedical and Health Sciences,How do bacteria utilize viruses to help spread their genetic material?,Microbiology,"(plants, attract, animals) like (bacteria, attract, viruses)
 (animals, carry, seeds) like (viruses, carry, genetic material)
 (seeds, disperse, far away) like (genetic material, disperse, far away)","Plants have evolved to attract animals to help them disperse their seeds.
 The animals carry the seeds in their fur or on their feet, enabling the seeds to travel far away from the original plant.
 This ensures the seeds are dispersed over a wide area and increases the chances of successful germination.","Bacteria are able to attract viruses to their cells by producing special molecules.
 These viruses then carry the bacteria's genetic material, allowing it to disperse to far away areas.
 The viruses inject the genetic material into new bacterial cells, allowing them to spread and reproduce.
 The viruses help propagate the bacteria's genetic material further than it would be able to travel on its own.",3.0,far analogy,,,,"[1]: Bacteria attract viruses to their cells by producing special molecules.
[2]: Viruses carry the bacteria's genetic material.
[3]: Viruses inject the genetic material into new bacterial cells.
[4]: The bacteria's genetic material spread and reproduce with the help of viruses.","[1]: Viruses inject the genetic material into new bacterial cells.
[2]: Bacteria attract viruses to their cells by producing special molecules.
[3]: Viruses carry the bacteria's genetic material.
[4]: The bacteria's genetic material spread and reproduce with the help of viruses.","By looking at INPUT_PARAGRAPH_ORDER, I inferred that ""[1]: Bacteria attract viruses to their cells by producing special molecules."" must occur before ""[3]: Viruses inject the genetic material into new bacterial cells."" because the viruses need to be attracted and attached to the bacterial cell before they can inject any genetic material. If viruses start injecting the genetic material without being attracted to the bacterial cells, there would not be any place for the genetic material to go, which makes no logical sense.","[1] Viruses inject the genetic material into new bacterial cells. [2] Following this, bacteria attract viruses to their cells by producing special molecules. [3] Subsequently, viruses carry the bacteria's genetic material. [4] Finally, the bacteria's genetic material spread and reproduce with the help of viruses."
33,567,254How do bacteria use other organisms to help spread their genetic material?,254,How do plants use animals to help disburse their seeds?,Natural Sciences,Natural Sciences,How do bacteria use other organisms to help spread their genetic material?,Microbiology,"(birds, ingest, seeds) like (insects, ingest, bacteria)
 (birds, transport, seeds) like (insects, transport, bacteria)
 (birds, distribute, seeds) like (insects, distribute, bacteria)","Plants use animals to help disburse their seeds by providing a food source that allows animals such as birds to ingest the seeds. The ingested seeds are then transported by the birds to another location where they are distributed back into the environment. This is a beneficial process for the plants, as it helps them to spread out their seeds over a wider area.","Bacteria can use other organisms to spread their genetic material.
 Insects can ingest the bacteria and then transport it in their bodies to other locations.
 This allows the bacteria to be distributed far and wide.
 Insects can spread the bacteria over a wide range of territories, allowing them to quickly and efficiently spread their genetic material.",3.0,Close analogy,,,,"[1]: Bacteria use other organisms to spread their genetic material.
[2]: Insects ingest the bacteria and transport it in their bodies.
[3]: The bacteria, transported by the insects, are distributed far and wide.
[4]: Insects spread the bacteria over a wide range of territories, enabling quick and efficient spread of the bacteria's genetic material.","[1]: Bacteria use other organisms to spread their genetic material.
[2]: The bacteria, transported by the insects, are distributed far and wide.
[3]: Insects ingest the bacteria and transport it in their bodies.
[4]: Insects spread the bacteria over a wide range of territories, enabling quick and efficient spread of the bacteria's genetic material.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Insects ingest the bacteria and transport it in their bodies."" must happen before ""[3]: The bacteria, transported by the insects, are distributed far and wide."" because the insects have to first ingest the bacteria before they can transport it to other locations. In the NEW_PARAGRAPH_ORDER, the bacteria is distributed far and wide before the insects ingest the bacteria, and that is illogical, as the bacteria cannot be distributed if it has not been ingested and transported by the insects first.","[1] Bacteria use other organisms to spread their genetic material. [2] The bacteria, transported by the insects, are distributed far and wide. [3] After the bacteria have been distributed, insects ingest the bacteria and transport it in their bodies. [4] Finally, insects spread the bacteria over a wide range of territories, enabling quick and efficient spread of the bacteria's genetic material."
34,599,263How does a mechanical system of waste management work?,263,How does recycling work?,Engineering,Engineering,How does a mechanical system of waste management work?,Mechanical Engineering,"(garbage, separates, into recyclables) like (waste, separates, into components)
 (paper, grinds, into fibers) like (plastic, grinds, into pellets)
 (glass, melts, into pellets) like (metal, melts, into parts)","Recycling works by taking garbage and separating it into recyclables such as paper, glass, and plastic. Paper is then ground into fibers, while glass is melted into pellets. The recycled materials are then used to create new products, reducing the need for new materials and helping to conserve the environment.","A mechanical system of waste management separates the waste into its components.
 The system then grinds the plastic into pellets, and melts the metal into parts.
 Once the plastic and metal have been separated and processed, they can be used in other products.",3.0,close analogy,,,,"[1]: A mechanical system separates waste into components.
[2]: The system grinds the plastic into pellets and melts the metal into parts.
[3]: Once processed, the plastic and metal can be used in other products.","[1]: The system grinds the plastic into pellets and melts the metal into parts.
[2]: A mechanical system separates waste into components.
[3]: Once processed, the plastic and metal can be used in other products.","From the INPUT_PARAGRAPH_ORDER, it can be observed that ""[1]: A mechanical system separates waste into components."" is a prerequisite for ""[2]: The system grinds the plastic into pellets, and melts the metal into parts."". In order for the system to grind the plastic into pellets and melt the metal into parts, the waste has to be separated into components first. In the NEW_PARAGRAPH_ORDER, grinding and melting happen before waste separation, which is not logically possible because the system won't know what material to grind or melt unless the waste has been separated beforehand.","[1] The system grinds the plastic into pellets and melts the metal into parts. [2] Following this, a mechanical system separates waste into components. [3] Once separated, the processed plastic and metal can be used in other products."
35,613,264How does composting work?,264,How does recycling work?,Engineering,Natural Sciences,How does composting work?,Ecology,"(waste, sorted and collected, recycling center) like (organic matter, sorted and collected, composting area)
 (plastics, melted and reused, products) like (organic matter, decomposed and reused, soil)
 (recyclables, processed and sold, industry) like (compost, processed and sold, agricultural sector)","Recycling involves sorting and collecting waste from various sources and delivering it to a recycling center.
 At the recycling center, the waste is separated into different categories such as plastics, metals, and paper.
 The plastics are then melted down and reused to create new products.
 The other recyclables are processed and sold to the recycling industry for further use.","Composting is the process of collecting and sorting organic matter such as food scraps and yard waste and allowing it to decompose. This decomposed material is then reused as a nutrient-rich soil amendment. The compost is further processed and sold to the agricultural sector, where it is used to improve soil fertility and increase crop yields.",3.0,far analogy,,,,"[1]: The process of collecting and sorting organic matter such as food scraps and yard waste occurs.
[2]: The organic matter decomposes.
[3]: The decomposed material is reused as a nutrient-rich soil amendment.
[4]: The compost is processed further and sold to the agricultural sector.
[5]: The compost is used to improve soil fertility and increase crop yields.","[1]: The process of collecting and sorting organic matter such as food scraps and yard waste occurs.
[2]: The compost is processed further and sold to the agricultural sector.
[3]: The organic matter decomposes.
[4]: The decomposed material is reused as a nutrient-rich soil amendment.
[5]: The compost is used to improve soil fertility and increase crop yields.","By reviewing the INPUT_PARAGRAPH_ORDER, I identified that ""[2]: The organic matter decomposes."" must happen before ""[3]: The decomposed material is reused as a nutrient-rich soil amendment."" and ""[4]: The compost is processed further and sold to the agricultural sector."" This is because decomposition must happen first to create compost from organic matter. Without it, there can't be any material for further processing or selling to the agricultural sector. Therefore, selling the collected and sorted material before it has decomposed is illogical.","[1] The process of collecting and sorting organic matter such as food scraps and yard waste occurs. [2] Immediately after, the compost is processed further and sold to the agricultural sector. [3] Following this, the organic matter decomposes. [4] The decomposed material is then reused as a nutrient-rich soil amendment. [5] Finally, the compost is used to improve soil fertility and increase crop yields."
36,625,280How does a solar cell produce energy?,280,How does an electromagnet work?,Engineering,Natural Sciences,How does a solar cell produce energy?,Natural Sciences,"(electromagnet, generates, magnetic field) like (solar cell, generates, electrical energy)
 (current, flows through, copper wire) like (electrons, flow through, semiconductor)
 (iron core, amplifies, magnetic field) like (silicon, amplifies, electric current)","An electromagnet is an object that generates a magnetic field when an electric current is applied.
 When an electric current flows through the copper wire, a magnetic field is created.
 The iron core of the electromagnet amplifies this magnetic field, creating a stronger field than what would be generated without the iron core.","A solar cell generates electrical energy through the process of photovoltaics.
 The photons from the sunlight are absorbed by the solar cell and generate electrons which can then flow through a semiconductor.
 The semiconductor is usually made from silicon which amplifies the electric current, creating usable energy.",3.0,close analogy,,,,"[1]: Photons from the sunlight are absorbed by the solar cell.
[2]: These photons generate electrons.
[3]: Electrons flow through a semiconductor, usually made from silicon.
[4]: Silicon amplifies the electric current, creating usable energy.","[1]: Photons from the sunlight are absorbed by the solar cell.
[2]: Electrons flow through a semiconductor, usually made from silicon.
[3]: These photons generate electrons.
[4]: Silicon amplifies the electric current, creating usable energy.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: These photons generate electrons."" must happen before ""[3]: Electrons flow through a semiconductor, usually made from silicon."" because we need the electrons to be generated first before they can flow through a semiconductor. If the electrons begin to flow through the semiconductor before they are generated, that would be illogical, since there are no electrons to flow.","[1] Photons from the sunlight are absorbed by the solar cell. [2] Then, electrons begin to flow through a semiconductor, usually made from silicon. [3] Afterward, these photons generate electrons. [4] Finally, the silicon amplifies the electric current, creating usable energy."
37,685,298Describe how viruses can cause malfunction in a computer system.,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause malfunction in a computer system.,Computer Engineering,"(bacteria, invade, cells) like (viruses, infect, software)
 (bacteria, produce, toxins) like (viruses, generate, malicious code)
 (bacteria, multiply, rapidly) like (viruses, spread, quickly)","Bacteria are microscopic organisms that can cause disease. They invade the cells of the body, producing toxins that can damage the cells. Bacteria can also multiply rapidly, overwhelming the body's natural defenses. This can cause a range of symptoms, from mild discomfort to serious illness.","Viruses are malicious programs that can infect software and generate malicious code.
 Once a virus has infected a system, it can quickly spread to other computers.
 The malicious code that viruses generate can cause malfunctions in a computer system, such as freezing or crashing, as well as corrupting or deleting files.",3.0,far analogy,,,,"[1]: Viruses are malicious programs that infect software and generate malicious code.
[2]: A virus infects a system.
[3]: The virus spreads to other computers.
[4]: The malicious code caused by the virus causes malfunctions in a computer system, such as freezing or crashing, and can corrupt or delete files.","[1]: Viruses are malicious programs that infect software and generate malicious code.
[2]: The malicious code caused by the virus causes malfunctions in a computer system, such as freezing or crashing, and can corrupt or delete files.
[3]: A virus infects a system.
[4]: The virus spreads to other computers.","It is illogical for the NEW_PARAGRAPH_ORDER. It's because ""[2]: The malicious code caused by the virus causes malfunctions in a computer system, such as freezing or crashing, and can corrupt or delete files."" should not occur before ""[3]: A virus infects a system."" For the malware to cause malfunctioning of the system or corrupt/delete files, it first needs to infect the system which is now happening after the damage is observed.","[1] Viruses are malicious programs that infect software and generate malicious code. [2] The malicious code caused by the virus causes malfunctions in a computer system, such as freezing or crashing, and can corrupt or delete files. [3] After causing the malfunctions, a virus infects a system. [4] Finally, the virus spreads to other computers."
38,687,298Describe how viruses can cause infection.,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Natural Sciences,Describe how viruses can cause infection.,Microbiology,"(bacteria, invade, cells) like (viruses, invade, cells)
 (bacterial toxins, damage, host cells) like (viral proteins, damage, host cells)
 (bacterial enzymes, inhibit, cell functions) like (viral particles, inhibit, cell functions)","Bacteria can cause disease by invading cells of the host organism and releasing toxins which damage the host cells. Bacterial enzymes can also inhibit the normal functioning of the host cell. This disruption of normal functions can lead to a variety of diseases, depending on the type of bacteria, the type of host cell, and the environment in which the bacteria are living.","Viruses can cause infection when they invade a host cell.
 Once inside the cell, viral proteins can damage the host cell and inhibit its functions.
 The viral particles then replicate and spread to other cells, in the process further damaging and inhibiting the cells' functions.",3.0,close analogy,,,,"[1]: Viruses invade a host cell and cause infection.
[2]: Inside the cell, viral proteins damage the host cell and inhibit its functions.
[3]: The viral particles then replicate and spread to other cells, in the process further damaging and inhibiting the cells' functions.","[1]: The viral particles then replicate and spread to other cells, in the process further damaging and inhibiting the cells' functions.
[2]: Viruses invade a host cell and cause infection.
[3]: Inside the cell, viral proteins damage the host cell and inhibit its functions.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: Viruses invade a host cell and cause infection."" must happen before ""[3]: The viral particles then replicate and spread to other cells, in the process further damaging and inhibiting the cells' functions."" because the virus needs to first enter a host cell in order to begin replication. It's illogical for replication and damage to occur if the virus is not yet inside the cell, hence making the NEW_PARAGRAPH_ORDER illogical.","[1] The viral particles then replicate and spread to other cells, in the process further damaging and inhibiting the cells' functions. [2] After the damage has been done, viruses invade a host cell and cause infection. [3] Inside the cell, viral proteins damage the host cell and inhibit its functions."
39,692,298How do viruses replicate and spread?,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Social Sciences,How do viruses replicate and spread?,Virology,"(bacteria, invade, cells) like (viruses, invade, host cells)
 (bacteria, secrete, toxins) like (viruses, secrete, proteins)
 (bacteria, cause, inflammation) like (viruses, cause, infection)","Bacteria are capable of invading cells of the body, allowing them to spread throughout the body. Once inside, the bacteria can secrete toxins that cause inflammation and can damage cells and tissue. This inflammation can lead to the body's immune system being overwhelmed, allowing the bacteria to continue to spread and cause disease.","Viruses invade host cells to replicate and spread.
 Once inside the host cell, they secrete proteins to take over the cell and cause infection.
 The replication of the viruses is a result of the host cell being taken over by the virus and used to produce more viruses.
 This process of replication and spread of viruses can cause serious health issues if left unchecked.",3.0,close analogy,,,,"[1]: Viruses invade host cells for replicating and spreading.
[2]: Once inside, they secrete proteins to take over the host cell and cause infection.
[3]: The replication of the viruses occurs due to the host cell being taken over by the viruses.
[4]: The process of replication and spread of viruses can cause serious health issues if not controlled.","[1]: Viruses invade host cells for replicating and spreading.
[2]: The replication of the viruses occurs due to the host cell being taken over by the viruses.
[3]: Once inside, they secrete proteins to take over the host cell and cause infection.
[4]: The process of replication and spread of viruses can cause serious health issues if not controlled.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Once inside, they secrete proteins to take over the host cell and cause infection."" must happen before ""[3]: The replication of the viruses occurs due to the host cell being taken over by the viruses."". This is because, for the viruses to replicate, they need to first take over the host cell which is done by secreting proteins after invading the cell. However, in the NEW_PARAGRAPH_ORDER, the replication of the virus is happening before the virus took over the host cell, which is illogical as without controlling the host cell, the virus won't be able to replicate.","[1] Viruses invade host cells for the purpose of replicating and spreading. [2] Immediately after invading, the replication of the viruses occurs due to the host cell being taken over by the viruses. [3] After replication, they secrete proteins to take over the host cell and cause infection. [4] This process of replication and spread of viruses can cause serious health issues if not controlled."
40,695,298How can viruses spread in a population?,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Biomedical and Health Sciences,How can viruses spread in a population?,Epidemiology,"(bacteria, invade, cells) like (viruses, invade, cells)
 (bacteria, release, toxins) like (viruses, release, toxins)
 (bacteria, cause, inflammation) like (viruses, cause, inflammation)","Bacteria can cause disease by invading cells and releasing toxins. These toxins can cause inflammation, weaken the immune system, and damage tissue. Bacteria can also disrupt the normal balance of the body, leading to further health issues. By invading cells and releasing toxins, bacteria can cause a variety of diseases and make an individual more susceptible to illnesses.","Viruses can spread in a population by invading cells and releasing toxins.
 These toxins can overwhelm the body's defense mechanisms, leading to inflammation.
 This inflammation can result in the spread of viruses, as they can be passed through close contact with infected people and surfaces.",3.0,close analogy,,,,"[1]: Viruses invade cells and release toxins. 
[2]: These toxins overwhelm the body's defense mechanisms, causing inflammation. 
[3]: This inflammation results in the spread of viruses as they are passed through close contact with infected people and surfaces.","[1]: Viruses invade cells and release toxins. 
[2]: This inflammation results in the spread of viruses as they can be passed through close contact with infected people and surfaces.
[3]: These toxins overwhelm the body's defense mechanisms, causing inflammation.","By examining INPUT_PARAGRAPH_ORDER, I see that ""[2]: These toxins overwhelm the body's defense mechanisms, causing inflammation."" must happen prior to ""[3]: This inflammation leads to the spread of viruses as they can be passed through close contact with infected people and surfaces."" This is because the toxins released by the viruses cause inflammation in the body and this inflammation allows the spread of the viruses. But in the NEW_PARAGRAPH_ORDER, the inflammation and spread of the viruses occur prior to the overwhelming of the body's defense mechanism by the toxins. This is illogical because without the toxins causing inflammation first, there would be no reason for the spread of the viruses.","[1] Viruses invade cells and release toxins. [2] This inflammation then results in the spread of viruses as they can be passed through close contact with infected people and surfaces. [3] After the spread of the viruses, these toxins overwhelm the body's defense mechanisms, causing inflammation."
41,699,300Describe how viruses can cause illness.,300,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Natural Sciences,Describe how viruses can cause illness.,Natural Sciences,"(bacteria, invade, cells) like (viruses, invade, cells)
 (bacteria, reproduce, quickly) like (viruses, reproduce, quickly)
 (bacteria, produce, toxins) like (viruses, produce, toxins)","Bacteria are microscopic organisms that can invade cells and reproduce quickly.
 Once they have invaded the body, they produce toxins that can disrupt the normal functioning of cells, causing disease.
 These toxins can also cause inflammation and damage to healthy cells, leading to further complications.","Viruses are microscopic organisms that can invade cells in the body. Once inside the cell, the virus can reproduce quickly and spread to other cells. As the virus reproduces, it produces toxins that can cause the body to become ill. The toxins can cause inflammation, fever, and other symptoms associated with illness.",3.0,close analogy,,,,"[1]: Viruses invade cells in the body.
[2]: Once inside the cell, the virus can reproduce quickly and spread to other cells.
[3]: As the virus reproduces, it produces toxins.
[4]: The toxins can cause inflammation, fever, and other symptoms associated with illness.","[1]: Viruses invade cells in the body.
[2]: The toxins can cause inflammation, fever, and other symptoms associated with illness.
[3]: Once inside the cell, the virus can reproduce quickly and spread to other cells.
[4]: As the virus reproduces, it produces toxins.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Once inside the cell, the virus can reproduce quickly and spread to other cells."" and ""[3]: As the virus reproduces, it produces toxins."" must happen before ""[4]: The toxins can cause inflammation, fever, and other symptoms associated with illness."" It's because the virus has to invade the cell, then reproduce and produce toxins, which then cause the symptoms. In the NEW_PARAGRAPH_ORDER, the illness symptoms cannot happen before the virus has replicated and produced toxins. Hence, it's illogical.","[1] Viruses invade cells in the body. [2] The toxins then cause inflammation, fever, and other symptoms associated with illness. [3] After the symptoms appear, the virus reproduces quickly and spreads to other cells once inside. [4] As the virus reproduces, it produces toxins."
42,704,300How can viruses spread disease?,300,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Biomedical and Health Sciences,How can viruses spread disease?,Biomedical and Health Sciences,"(bacteria, invade, cells) like (viruses, invade, cells)
 (bacteria, produce, toxins) like (viruses, produce, toxins)
 (bacteria, cause, inflammation) like (viruses, cause, inflammation)",Bacteria can cause disease when they invade cells in the body. They can produce toxins that damage the cells and cause inflammation in the body. Bacteria also produce enzymes which can break down cell walls and damage tissue. This invasion and damage can lead to a variety of symptoms and illnesses.,"Viruses are microscopic agents that can invade cells and reproduce, often leading to the spread of disease. They can produce toxins and cause inflammation in the cells they invade, leading to the development of illnesses. In some cases, the toxins produced by the viruses can travel to other parts of the body, spreading the disease further.",3.0,close analogy,,,,"[1]: Viruses invade cells and reproduce.
[2]: They produce toxins and cause inflammation in the invaded cells.
[3]: Illness develops due to the inflammation and toxin production.
[4]: In some cases, toxins spread to other parts of the body.","[1]: Viruses invade cells and reproduce.
[2]: Illness develops due to the inflammation and toxin production.
[3]: They produce toxins and cause inflammation in the invaded cells.
[4]: In some cases, toxins spread to other parts of the body.","In the INPUT_PARAGRAPH_ORDER, ""[2]: They produce toxins and cause inflammation in the invaded cells."" must occur before ""[3]: Illness develops due to the inflammation and toxin production."" This is because the production of toxins and the resulting inflammation are what lead to the development of illness. If illness develops before the toxins are produced, it defies the cause-and-effect relationship mentioned in the paragraph, thus making the NEW_PARAGRAPH_ORDER illogical.","[1] Viruses invade cells and reproduce. [2] Following this, illness develops due to the inflammation and toxin production. [3] After the illness develops, the viruses produce toxins and cause inflammation in the invaded cells. [4] In some cases, these toxins spread to other parts of the body."
43,707,301How do you use a Segway?,301,How do you use a skateboard?,Engineering,Engineering,How do you use a Segway?,Mechanical Engineering,"(skateboard, propelled, foot) like (Segway, propelled, motor)
 (skateboard, balance, weight) like (Segway, balance, gyroscopes)
 (skateboard, steer, handle) like (Segway, steer, joystick)","To use a skateboard, you need to propel it forward with your foot.
 You should also use your bodyweight and balance to control the skateboard.
 When you want to turn, you can use the handle to steer the skateboard in the desired direction.","A Segway is a two-wheeled, self-balancing personal transporter that is propelled by an electric motor. The Segway is designed to maintain balance using two gyroscopes and a set of sensors. To steer the Segway, a rider leans in the direction they want to go and uses a joystick on the handlebars to control the speed.",3.0,close analogy,,,,"[1]: A Segway is a two-wheeled, self-balancing personal transporter that is propelled by an electric motor.
[2]: The Segway is designed to maintain balance using two gyroscopes and a set of sensors.
[3]: To steer the Segway, a rider leans in the direction they want to go.
[4]: The rider uses a joystick on the handlebars to control the speed.","[1]: A Segway is a two-wheeled, self-balancing personal transporter that is propelled by an electric motor.
[2]: To steer the Segway, a rider leans in the direction they want to go.
[3]: The Segway is designed to maintain balance using two gyroscopes and a set of sensors.
[4]: The rider uses a joystick on the handlebars to control the speed.","In the INPUT_PARAGRAPH_ORDER, I found that ""[2]: The Segway is designed to maintain balance using two gyroscopes and a set of sensors."" must happen before ""[3]: To steer the Segway, a rider leans in the direction they want to go."" because the design and system of the Segway must be understood before it can be steered. The Segway’s design incorporates the gyroscopes and sensors that maintain balance; only after this system is in place can a rider effectively lean in a direction and steer. Thus, if the deploying of the Segway's design is placed after the action of the rider leaning to steer, it doesn't make logical sense; without the Segway's balance system in place, the rider wouldn't be able to steer by leaning in various directions.","[1] A Segway is a two-wheeled, self-balancing personal transporter that is propelled by an electric motor. [2] To steer the Segway, a rider leans in the direction they want to go. [3] The Segway is designed to maintain balance using two gyroscopes and a set of sensors. [4] The rider uses a joystick on the handlebars to control the speed."
44,710,301How do you ride a bicycle?,301,How do you use a skateboard?,Engineering,Natural Sciences,How do you ride a bicycle?,Physics,"(skateboard, balance on, deck) like (bicycle, balance on, frame)
 (skateboard, steer with, trucks) like (bicycle, steer with, handlebars)
 (skateboard, propel with, feet) like (bicycle, propel with, pedals)","To use a skateboard, you must first balance on the deck.
 The truck of the skateboard acts as a steering mechanism, allowing you to control the direction of the board.
 To propel the skateboard forward, you must use your feet to push off the ground and move the board.","Riding a bicycle requires a good sense of balance as you must balance on the frame of the bicycle.
 The handlebars are used to steer the bicycle while the pedals are used to propel the bicycle forward.
 By using the pedals, the rider is able to create enough momentum to keep the bicycle in motion as they steer with the handlebars.",3.0,close analogy,,,,"[1]: Balancing on the bicycle frame.
[2]: Using the handlebars to steer the bicycle.
[3]: Using the pedals to propel the bicycle forward and keep it in motion.","[1]: Using the handlebars to steer the bicycle.
[2]: Balancing on the bicycle frame.
[3]: Using the pedals to propel the bicycle forward and keep it in motion.","In the INPUT_PARAGRAPH_ORDER, ""[1]: Balancing on the bicycle frame."" has to occur before ""[2]: Using the handlebars to steer the bicycle."" because if you don't have a good sense of balance first, you wouldn't be able to even ride or steer the bicycle properly. So in the NEW_PARAGRAPH_ORDER, it is illogical for a person to start steering the bicycle before even being able to balance on it.","[1] The first step in riding a bicycle is using the handlebars to steer the bicycle. [2] After steering, the next step is to balance on the bicycle frame. [3] Finally, using the pedals to propel the bicycle forward and keep it in motion."
