,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,distractor_target_paragraph,analogous_target_paragraph,shuffled_candidates,ground_truth,random_paragraph,random_events_order,explanation,random_new_events_order,new_paragraph
58,519Describe the lifecycle of a human,"The life cycle of a fish begins with an egg. The egg develops into a larva, which is the immature stage of the fish. The larva matures into an adult and is ready to reproduce. The adult produces eggs, which will start the life cycle over again.","You breathe air in.
Air enters bronchial tubes.
Air is then split into the bronchioles of each lung.
Bronchioles have alveoli which are tiny air sacs.
Alveoli is surrounded by many small blood vessels.
Oxygen passes through alveoli into blood vessels.
Blood leaves the lungs as it travels through the body.
Blood carries carbon dioxide back to the lungs.
Carbon dioxide released when you exhale.","Muscles work by expanding and contracting.
A muscle fiber gets a signal from its nerve.
Proteins and chemicals release energy to either contract the muscle or relax it.
When the muscles contracts the bones connected to he muscle are pulled closer together.
When the muscle relaxes the bones move farther apart."," An infant grows and matures into an adult. After reaching adulthood, a fetus develops in the womb. The fetus then grows and matures into an infant. Finally, the adult has the capability to reproduce, creating offspring.","The lifecycle of a human begins when a fetus develops in the womb. As the fetus grows, it matures into an infant. The infant then continues to grow and mature into an adult. At this stage, the adult has the capability to reproduce, creating offspring to start the cycle all over again.","[""You breathe air in.\nAir enters bronchial tubes.\nAir is then split into the bronchioles of each lung.\nBronchioles have alveoli which are tiny air sacs.\nAlveoli is surrounded by many small blood vessels.\nOxygen passes through alveoli into blood vessels.\nBlood leaves the lungs as it travels through the body.\nBlood carries carbon dioxide back to the lungs.\nCarbon dioxide released when you exhale."", ""The lifecycle of a human begins when a fetus develops in the womb. As the fetus grows, it matures into an infant. The infant then continues to grow and mature into an adult. At this stage, the adult has the capability to reproduce, creating offspring to start the cycle all over again."", ""Muscles work by expanding and contracting.\nA muscle fiber gets a signal from its nerve.\nProteins and chemicals release energy to either contract the muscle or relax it.\nWhen the muscles contracts the bones connected to he muscle are pulled closer together.\nWhen the muscle relaxes the bones move farther apart."", "" An infant grows and matures into an adult. After reaching adulthood, a fetus develops in the womb. The fetus then grows and matures into an infant. Finally, the adult has the capability to reproduce, creating offspring.""]",C2,,,,,
59,924How does the respiratory system work?,"Lungs take in oxygen from the air, which is then absorbed by the alveoli. The diaphragm expands and contracts to increase the air intake and ensure that the lungs are filled with enough oxygen for respiration. The oxygen then travels throughout the body, providing cells with the energy they need to function.","A bee visits a flower.
The hairs on the bees legs collect pollen.
The bee moves on to a different flower.
Some pollen falls off the bee.
The flower is pollinated.","The magnetron converts electricity into radio waves.
The radio waves go through a wave guide.
The radio waves go into the food compartment.
Microwaves bounces off the metal walls of the food compartment.
Microwaves pass through the food.
Microwaves make the molecules in the food move more quickly.
The food heats up."," The capillaries absorb oxygen from the air and deliver it to the cells, while also taking away carbon dioxide and other waste products. After this, the respiratory system is responsible for taking in air and distributing it throughout the body. Then, airways such as the nose, throat, and trachea transport air down to the lungs. Finally, muscles involved in breathing increase the flow of air and blood throughout the body.","The respiratory system is responsible for taking in air and distributing it throughout the body. Airways such as the nose, throat, and trachea take in air and transport it down to the lungs. The capillaries absorb oxygen from the air and deliver it to the cells, while also taking away carbon dioxide and other waste products. Muscles involved in breathing also help to increase the flow of air and blood throughout the body.","[""The respiratory system is responsible for taking in air and distributing it throughout the body. Airways such as the nose, throat, and trachea take in air and transport it down to the lungs. The capillaries absorb oxygen from the air and deliver it to the cells, while also taking away carbon dioxide and other waste products. Muscles involved in breathing also help to increase the flow of air and blood throughout the body."", "" The capillaries absorb oxygen from the air and deliver it to the cells, while also taking away carbon dioxide and other waste products. After this, the respiratory system is responsible for taking in air and distributing it throughout the body. Then, airways such as the nose, throat, and trachea transport air down to the lungs. Finally, muscles involved in breathing increase the flow of air and blood throughout the body."", ""The magnetron converts electricity into radio waves.\nThe radio waves go through a wave guide.\nThe radio waves go into the food compartment.\nMicrowaves bounces off the metal walls of the food compartment.\nMicrowaves pass through the food.\nMicrowaves make the molecules in the food move more quickly.\nThe food heats up."", ""A bee visits a flower.\nThe hairs on the bees legs collect pollen.\nThe bee moves on to a different flower.\nSome pollen falls off the bee.\nThe flower is pollinated.""]",C1,,,,,
60,381How does a computer virus infect a computer?,"A virus is able to infect an animal when it enters the animal cell. Once inside the cell, the virus replicates its genetic material, which can cause diseases. The virus uses the resources of the cell to replicate itself, thus causing diseases in the animal.","You breathe in through your nose or mouth.
The air travels through your windpipe.
Into your lungs.
Inside your lungs are tiny air sacs.
The air sacs transfer the oxygen into your blood.
The oxygen travels through your blood stream.
The carbon dioxide from your blood stream is transferred to your air sacs.
You breathe out and expel the carbon dioxide from your lungs.","Wind or water breaks small pieces off of a rock.
The wind or water deposits tiny rocks.
The rocks become known as sediment.
The layers of sediment are pressed together by other layers of sediment on top.
Minerals from the rocks in the sediment dissolve.
Minerals glue the sediment together into a single rock."," A computer virus enters the computer system through software or a file. As a result, data loss or other damage occurs. Following the damage, the virus replicates itself and spreads to other digital data. Finally, the system malfunctions due to the replication of the virus.","A computer virus is a malicious piece of code that enters the computer system through software or a file. Once the virus is inside, it replicates itself and spreads to other digital data. This replication causes the system to malfunction, which can lead to data loss or other damage.","[""Wind or water breaks small pieces off of a rock.\nThe wind or water deposits tiny rocks.\nThe rocks become known as sediment.\nThe layers of sediment are pressed together by other layers of sediment on top.\nMinerals from the rocks in the sediment dissolve.\nMinerals glue the sediment together into a single rock."", ""A computer virus is a malicious piece of code that enters the computer system through software or a file. Once the virus is inside, it replicates itself and spreads to other digital data. This replication causes the system to malfunction, which can lead to data loss or other damage."", ""You breathe in through your nose or mouth.\nThe air travels through your windpipe.\nInto your lungs.\nInside your lungs are tiny air sacs.\nThe air sacs transfer the oxygen into your blood.\nThe oxygen travels through your blood stream.\nThe carbon dioxide from your blood stream is transferred to your air sacs.\nYou breathe out and expel the carbon dioxide from your lungs."", "" A computer virus enters the computer system through software or a file. As a result, data loss or other damage occurs. Following the damage, the virus replicates itself and spreads to other digital data. Finally, the system malfunctions due to the replication of the virus.""]",C2,,,,,
61,642Describe the life cycle of a butterfly,"A frog's life cycle begins with eggs, which are laid in water. After hatching, the eggs become tadpoles. The tadpoles undergo a transformation, growing legs and lungs, until they become fully developed frogs. The frogs then lay eggs, which hatch into tadpoles, completing the cycle.","Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud.","Gather the ingredients for the cake.
Mix the flour, sugar, egg, and water to make batter.
Pour the mixture into a cake pan.
Place the cake in the oven to cook.
Take the cake out when it is cooked through.
Let the cake cool.
Serve the cake."," The life cycle of a butterfly begins when the female butterfly lays eggs. Then, the caterpillars transform into butterflies. After transformation, the eggs hatch into caterpillars. The caterpillars feed and grow. Finally, the butterflies reproduce and lay eggs.","The life cycle of a butterfly begins when the female butterfly lays eggs. The eggs hatch into caterpillars, which then feed and grow until they transform into butterflies. After transformation, the butterflies can reproduce and the cycle begins again, as the butterflies will lay eggs which will hatch into caterpillars.","[""Gather the ingredients for the cake.\nMix the flour, sugar, egg, and water to make batter.\nPour the mixture into a cake pan.\nPlace the cake in the oven to cook.\nTake the cake out when it is cooked through.\nLet the cake cool.\nServe the cake."", "" The life cycle of a butterfly begins when the female butterfly lays eggs. Then, the caterpillars transform into butterflies. After transformation, the eggs hatch into caterpillars. The caterpillars feed and grow. Finally, the butterflies reproduce and lay eggs."", ""The life cycle of a butterfly begins when the female butterfly lays eggs. The eggs hatch into caterpillars, which then feed and grow until they transform into butterflies. After transformation, the butterflies can reproduce and the cycle begins again, as the butterflies will lay eggs which will hatch into caterpillars."", ""Warm air rises.\nThen it expandes and cools.\nSome of the vapor condenses onto tiny pieces of dust that are floating in the air.\nForms a tiny droplet around each dust particle.\nBillions of these droplets come together they become a visible cloud.""]",C3,,,,,
62,923How does a photosynthesis process work?,"The lungs are responsible for the exchange of gases in the body. They take in oxygen from the air and release carbon dioxide. The oxygen from the air is absorbed into the bloodstream, while carbon dioxide is expelled from the body. The lungs are continually exchanging oxygen and carbon dioxide, which helps maintain a healthy balance in the body.","A frog lays eggs in the water.
Tadpoles develop inside of the eggs.
The eggs hatch.
The tadpoles eat and grow.
The tadpoles grow legs and form into frogs.
The frogs leave the water.","A plant produces a fruit with seeds in it.
An animal eats the fruit.
The animal wanders to another area.
The animal defecates.
The seeds are included in the waste.
The seeds produce a new plant."," Chloroplasts in plants take in, and release, carbon dioxide and oxygen to complete the photosynthesis process. Then, the energy from light is used to convert carbon dioxide into glucose. During this process, oxygen is released into the atmosphere. Finally, carbon dioxide is taken in from the atmosphere.","Photosynthesis is a process that occurs in plants. Chloroplasts take in carbon dioxide from the atmosphere and use the energy from light to convert it into glucose. During this process, oxygen is released into the atmosphere. Chloroplasts exchange the gases of carbon dioxide and oxygen to complete the photosynthesis process.","[""A plant produces a fruit with seeds in it.\nAn animal eats the fruit.\nThe animal wanders to another area.\nThe animal defecates.\nThe seeds are included in the waste.\nThe seeds produce a new plant."", "" Chloroplasts in plants take in, and release, carbon dioxide and oxygen to complete the photosynthesis process. Then, the energy from light is used to convert carbon dioxide into glucose. During this process, oxygen is released into the atmosphere. Finally, carbon dioxide is taken in from the atmosphere."", ""A frog lays eggs in the water.\nTadpoles develop inside of the eggs.\nThe eggs hatch.\nThe tadpoles eat and grow.\nThe tadpoles grow legs and form into frogs.\nThe frogs leave the water."", ""Photosynthesis is a process that occurs in plants. Chloroplasts take in carbon dioxide from the atmosphere and use the energy from light to convert it into glucose. During this process, oxygen is released into the atmosphere. Chloroplasts exchange the gases of carbon dioxide and oxygen to complete the photosynthesis process.""]",C4,,,,,
63,221How do water droplets condense to form clouds?,Clouds are formed when evaporation from the Earth's surface releases water vapor into the air. The water vapor rises to higher altitudes where the sun's heat creates air currents. These air currents then move the clouds across the sky.,"Bees go out during the day and gather food.
Then while gathering of their food, they make wax, which is the building block of their bee hive.
Bees make food called honey.
They use a sticky, glue-like substance called propolis as a binding to hold their hives together.
Bees produce all of the building blocks to build their hive in their own body.","Wind passes the turbines and moves the blades.
The shaft of the turbine spins.
Shaft is connected to a generator.
The generator uses the spins of the shaft to rotate a rotor.
The rotor spins inside the core, which has magnets inside surrounded by wire loops inside.
The spinning of the rotor in the core generates electricity."," The sun's heat creates air currents that move the water droplets, forming clouds. After the formation of clouds, this water vapor accumulates and forms tiny water droplets that rise to higher altitudes. Subsequently, the process of transpiration releases water vapor into the atmosphere. Finally, these clouds can then move around the atmosphere depending on the direction of the air currents.","The process of transpiration releases water vapor into the atmosphere. This water vapor accumulates and forms tiny water droplets that rise to higher altitudes. The sun's heat creates air currents that move the water droplets, forming clouds. These clouds can then move around the atmosphere depending on the direction of the air currents.","[""The process of transpiration releases water vapor into the atmosphere. This water vapor accumulates and forms tiny water droplets that rise to higher altitudes. The sun's heat creates air currents that move the water droplets, forming clouds. These clouds can then move around the atmosphere depending on the direction of the air currents."", "" The sun's heat creates air currents that move the water droplets, forming clouds. After the formation of clouds, this water vapor accumulates and forms tiny water droplets that rise to higher altitudes. Subsequently, the process of transpiration releases water vapor into the atmosphere. Finally, these clouds can then move around the atmosphere depending on the direction of the air currents."", ""Bees go out during the day and gather food.\nThen while gathering of their food, they make wax, which is the building block of their bee hive.\nBees make food called honey.\nThey use a sticky, glue-like substance called propolis as a binding to hold their hives together.\nBees produce all of the building blocks to build their hive in their own body."", ""Wind passes the turbines and moves the blades.\nThe shaft of the turbine spins.\nShaft is connected to a generator.\nThe generator uses the spins of the shaft to rotate a rotor.\nThe rotor spins inside the core, which has magnets inside surrounded by wire loops inside.\nThe spinning of the rotor in the core generates electricity.""]",C1,,,,,
64,665Describe the process of dialysis,"Desalination is the process of removing salt from water to produce desalinated water. Seawater is filtered through a process called reverse osmosis. This process forces water through a membrane that traps salt and other impurities, leaving behind brine. The brine is then treated to remove additional salt, producing desalinated water.","A seed is in soil.
The seed germinates.
The plant grows roots.
The plant grows out of the ground.
The plant gets bigger.
The plant flowers.
The flower produces fruit.
The fruit releases seeds.
The plant dies.","Seeds are sown into the ground.
The earth where the seeds are planted is given water and fertilizer.
The seeds start to grow and become seedlings.
The plants are given water.
The seedlings grow into plants.
Weeds growing near the plants are removed.
The plants grow to maturity."," The process of dialysis removes toxins from the blood, producing purified blood. The said membrane is designed to remove toxins from the blood and replace them with a dialysate, thereby creating purified blood. After the purification process, hemodialysis — the most common type of dialysis — filters the blood through a semipermeable membrane.","Dialysis is a process that removes toxins from the blood and produces purified blood. Hemodialysis is the most common type of dialysis, and it works by filtering the blood through a semipermeable membrane. This membrane is designed to remove toxins from the blood and replace them with a dialysate, which produces purified blood.","[""A seed is in soil.\nThe seed germinates.\nThe plant grows roots.\nThe plant grows out of the ground.\nThe plant gets bigger.\nThe plant flowers.\nThe flower produces fruit.\nThe fruit releases seeds.\nThe plant dies."", ""Seeds are sown into the ground.\nThe earth where the seeds are planted is given water and fertilizer.\nThe seeds start to grow and become seedlings.\nThe plants are given water.\nThe seedlings grow into plants.\nWeeds growing near the plants are removed.\nThe plants grow to maturity."", ""Dialysis is a process that removes toxins from the blood and produces purified blood. Hemodialysis is the most common type of dialysis, and it works by filtering the blood through a semipermeable membrane. This membrane is designed to remove toxins from the blood and replace them with a dialysate, which produces purified blood."", "" The process of dialysis removes toxins from the blood, producing purified blood. The said membrane is designed to remove toxins from the blood and replace them with a dialysate, thereby creating purified blood. After the purification process, hemodialysis \u2014 the most common type of dialysis \u2014 filters the blood through a semipermeable membrane.""]",C3,,,,,
65,212How does evaporation occur?,"Rainclouds accumulate moisture in the atmosphere by drawing it up from the ground. The moisture then goes through the process of condensation, resulting in the formation of raindrops. The precipitation then falls towards the ground. As the raindrops fall, they evaporate and evaporative cooling occurs which causes the cycle to repeat.","DNA replication is initiated by proteins.
The hydrogen bonds that hold together a strand of DNA are broken.
A polymerase reads each side of the strand.
Adds complimentary nucleotides.
Once all the bases are matched, the new DNA strand is formed.
DNA ligase seals the new pieces into two new strands.","Dead organic material accumulates on the bottom of oceans, riverbeds or swamps, mixing with mud and sand.
Over time, more sediment piles on top.
The resulting heat and pressure transforms the organic layer into a dark and waxy substance known as kerogen.
Left alone, the kerogen molecules eventually crack.
The molecules break up into shorter and lighter molecules composed almost solely of carbon and hydrogen atoms.
It will turn into either petroleum or natural gas."," The droplets increase in size and become heavy enough to fall back to the ground as rain or snow. After the precipitation, warm air accumulates water vapor through evaporation. The water vapor then rises into the atmosphere. Finally, the water vapor cools and condenses into tiny droplets, forming clouds.","Evaporation occurs when warm air accumulates water vapor, which rises into the atmosphere. As the water vapor rises, it cools and condenses into tiny droplets, forming clouds. As these droplets increase in size, they eventually become heavy enough to fall back to the ground as rain or snow.","[""Dead organic material accumulates on the bottom of oceans, riverbeds or swamps, mixing with mud and sand.\nOver time, more sediment piles on top.\nThe resulting heat and pressure transforms the organic layer into a dark and waxy substance known as kerogen.\nLeft alone, the kerogen molecules eventually crack.\nThe molecules break up into shorter and lighter molecules composed almost solely of carbon and hydrogen atoms.\nIt will turn into either petroleum or natural gas."", ""Evaporation occurs when warm air accumulates water vapor, which rises into the atmosphere. As the water vapor rises, it cools and condenses into tiny droplets, forming clouds. As these droplets increase in size, they eventually become heavy enough to fall back to the ground as rain or snow."", ""DNA replication is initiated by proteins.\nThe hydrogen bonds that hold together a strand of DNA are broken.\nA polymerase reads each side of the strand.\nAdds complimentary nucleotides.\nOnce all the bases are matched, the new DNA strand is formed.\nDNA ligase seals the new pieces into two new strands."", "" The droplets increase in size and become heavy enough to fall back to the ground as rain or snow. After the precipitation, warm air accumulates water vapor through evaporation. The water vapor then rises into the atmosphere. Finally, the water vapor cools and condenses into tiny droplets, forming clouds.""]",C2,,,,,
66,539How does a respiratory system work?,"The lungs are an integral part of the respiratory system. When a person breathes in, air enters the lungs through the nose and mouth. The air then passes through a series of tubes and sacs, eventually reaching the alveoli. The alveoli is where gas exchange occurs; oxygen is absorbed into the bloodstream while carbon dioxide is exhaled out. The diaphragm is a sheet of muscle that contracts and expands, causing the chest cavity to expand and contract. This helps draw the air into and out of the lungs.","Magma rises through cracks in the Earth's crust.
The pressure causes plates to move.
Magma explodes to the surface.
The lava from the eruption cools to form new crust.
After several eruptions, the rock builds up and a volcano forms.","Waste products are deposited in the blood.
Blood is carried to the kidneys through the renal arteries.
The kidneys contain filters inside.
The filters capture the waste products.
The waste is combined with water to make urine.
The urine leaves the kidney and is collected in the bladder.
The cleaned blood is returned to the body."," Oxygen enters the respiratory system through the nose or mouth. Then, the intercostal muscles contract and expand the thoracic cavity, allowing the lungs to fill with air and expel carbon dioxide. After this, oxygen travels to the lungs. Finally, in the lungs, oxygen is taken up by the capillaries and exchanged with carbon dioxide.","The respiratory system works by taking in oxygen and exhaling carbon dioxide. Oxygen enters the respiratory system through the nose or mouth and travels to the lungs. In the lungs, oxygen is taken up by the capillaries and exchanged with carbon dioxide. The intercostal muscles then contract and expand the thoracic cavity, allowing the lungs to fill with air and expel carbon dioxide.","[""Waste products are deposited in the blood.\nBlood is carried to the kidneys through the renal arteries.\nThe kidneys contain filters inside.\nThe filters capture the waste products.\nThe waste is combined with water to make urine.\nThe urine leaves the kidney and is collected in the bladder.\nThe cleaned blood is returned to the body."", "" Oxygen enters the respiratory system through the nose or mouth. Then, the intercostal muscles contract and expand the thoracic cavity, allowing the lungs to fill with air and expel carbon dioxide. After this, oxygen travels to the lungs. Finally, in the lungs, oxygen is taken up by the capillaries and exchanged with carbon dioxide."", ""The respiratory system works by taking in oxygen and exhaling carbon dioxide. Oxygen enters the respiratory system through the nose or mouth and travels to the lungs. In the lungs, oxygen is taken up by the capillaries and exchanged with carbon dioxide. The intercostal muscles then contract and expand the thoracic cavity, allowing the lungs to fill with air and expel carbon dioxide."", ""Magma rises through cracks in the Earth's crust.\nThe pressure causes plates to move.\nMagma explodes to the surface.\nThe lava from the eruption cools to form new crust.\nAfter several eruptions, the rock builds up and a volcano forms.""]",C3,,,,,
67,619How does a mechanical system of oxygen delivery work?,"The lungs take in oxygen from the atmosphere. The oxygen then diffuses through the alveoli into the bloodstream. From there, it is transported through the blood vessels and circulated to the cells of the body. Once the oxygen reaches the cells, it is used for metabolic processes.","Grapes are grown.
A selection of grapes are gathered.
The grapes are washed.
The stems are removed from the grapes.
The grapes are crushed and added to a fermation container.
Yeast is added to the container.
The yeast eats the sugar in the yeast, releasing alcohol.","You pack up your car with food, tents, sleeping bags, etc.
Drive to your camping spot.
Put up your tent.
Hide your food from bears.
Make a campfire.
Roast marshmellows.
Go to sleep in the tent.
Wake up and enjoy nature."," The oxygen is then released at the desired location, allowing the patient to receive the oxygen. After the oxygen is released, the tank takes in oxygen. Then, the oxygen flows through tubes and is pumped through pipelines. Finally, the pressure created by the pumping of the oxygen forces the oxygen to move through the pipelines.","A mechanical system of oxygen delivery begins with a tank that takes in oxygen. The oxygen then flows through tubes and is pumped through pipelines to the desired location. The pressure created by the pumping of the oxygen forces the oxygen to move through the pipelines. The oxygen is then released at the desired location, allowing the patient to receive the oxygen.","[""Grapes are grown.\nA selection of grapes are gathered.\nThe grapes are washed.\nThe stems are removed from the grapes.\nThe grapes are crushed and added to a fermation container.\nYeast is added to the container.\nThe yeast eats the sugar in the yeast, releasing alcohol."", ""A mechanical system of oxygen delivery begins with a tank that takes in oxygen. The oxygen then flows through tubes and is pumped through pipelines to the desired location. The pressure created by the pumping of the oxygen forces the oxygen to move through the pipelines. The oxygen is then released at the desired location, allowing the patient to receive the oxygen."", ""You pack up your car with food, tents, sleeping bags, etc.\nDrive to your camping spot.\nPut up your tent.\nHide your food from bears.\nMake a campfire.\nRoast marshmellows.\nGo to sleep in the tent.\nWake up and enjoy nature."", "" The oxygen is then released at the desired location, allowing the patient to receive the oxygen. After the oxygen is released, the tank takes in oxygen. Then, the oxygen flows through tubes and is pumped through pipelines. Finally, the pressure created by the pumping of the oxygen forces the oxygen to move through the pipelines.""]",C2,,,,,
68,369How does a mechanical system of water pump works?,"Plants obtain and use water mainly through their roots. The roots absorb water from the soil and use it to make sap. The sap is transported up the plant through the xylem. At the same time, moisture is released from the stomata of the leaves, which helps to evaporate the water through transpiration.","Skin is cut or damaged.
Bacteria enters through the wound.
The bacteria reproduces and spreads.
Causes symptoms.
The bacteria is either fought off or becomes a disease.","Evaporation of water at a surface turns into water vapors.
Rises into the Earth's atmosphere.
Condensation occurs when water vapor turns into tiny particles of water/ice.
And form together into clouds or fog.
Precipitation of rain/snow occurs when wind/temperatures change.
Fallen rain or snow collects into surface water which will evaporate into water vapor again."," A pipe transports the liquid to the pump. Then, the water is absorbed by the pump. After that, the pump evaporates the water at a higher pressure and temperature. Following this, the pump releases the water through a valve. Finally, the evaporated water is then released back into the system.",A mechanical system of water pump works by absorbing the water and then releasing it through a valve. The pipe is used to transport the liquid to the pump. The pump then evaporates the water at a higher pressure and temperature. The evaporated water is then released back into the system.,"["" A pipe transports the liquid to the pump. Then, the water is absorbed by the pump. After that, the pump evaporates the water at a higher pressure and temperature. Following this, the pump releases the water through a valve. Finally, the evaporated water is then released back into the system."", ""Evaporation of water at a surface turns into water vapors.\nRises into the Earth's atmosphere.\nCondensation occurs when water vapor turns into tiny particles of water/ice.\nAnd form together into clouds or fog.\nPrecipitation of rain/snow occurs when wind/temperatures change.\nFallen rain or snow collects into surface water which will evaporate into water vapor again."", ""A mechanical system of water pump works by absorbing the water and then releasing it through a valve. The pipe is used to transport the liquid to the pump. The pump then evaporates the water at a higher pressure and temperature. The evaporated water is then released back into the system."", ""Skin is cut or damaged.\nBacteria enters through the wound.\nThe bacteria reproduces and spreads.\nCauses symptoms.\nThe bacteria is either fought off or becomes a disease.""]",C3,,,,,
69,978How does the burning of fossil fuels contribute to climate change?,"Coal releases sulfur dioxide into the atmosphere when it is burned. This sulfur dioxide combines with water vapor in the atmosphere and forms acid rain. When the sulfur dioxide and water vapor mix, they form a combination that is highly acidic and causes acid rain.","Coal is mixed with hot air in a power station.
Water is sent through pipes in the power station.
The water pipes go through a firebox in the power station.
The coal is put in the air in the firebox.
The water heats up so it's very hot.
The water turns into steam.
The steam is pushed out of the pipes into a separate area.
The steam powers turbines.
Magnets in the turbines spin in wire coils.
Electricity is produced.","Owls hunt around their hunting territory away from where they roost during the day.
They sit still on a perch, like a stump of branch, and wait for prey.
They use their highly sensitive hearing to locate prey that cannot be seen.
They use their very keen vision to see prey in the dark.
They fly silently, without flapping their wings, in order to surprise the prey.
The owl silently glides or drops on its prey, grabbing it with its talons and beak.
The owl eats the prey, or carries it back to its perch."," The released carbon dioxide mixes with water vapor. Then, fossil fuels are burned and carbon dioxide is released into the atmosphere. This mixture results in the formation of greenhouse gases. Greenhouse gases trap the heat from the sun. Finally, the increase in temperature contributes to climate change.","The burning of fossil fuels releases carbon dioxide into the atmosphere. This carbon dioxide combines with water vapor, and when these two gases mix, greenhouse gases form. Greenhouse gases trap the heat from the sun, causing temperatures to rise and contributing to climate change.","["" The released carbon dioxide mixes with water vapor. Then, fossil fuels are burned and carbon dioxide is released into the atmosphere. This mixture results in the formation of greenhouse gases. Greenhouse gases trap the heat from the sun. Finally, the increase in temperature contributes to climate change."", ""The burning of fossil fuels releases carbon dioxide into the atmosphere. This carbon dioxide combines with water vapor, and when these two gases mix, greenhouse gases form. Greenhouse gases trap the heat from the sun, causing temperatures to rise and contributing to climate change."", ""Owls hunt around their hunting territory away from where they roost during the day.\nThey sit still on a perch, like a stump of branch, and wait for prey.\nThey use their highly sensitive hearing to locate prey that cannot be seen.\nThey use their very keen vision to see prey in the dark.\nThey fly silently, without flapping their wings, in order to surprise the prey.\nThe owl silently glides or drops on its prey, grabbing it with its talons and beak.\nThe owl eats the prey, or carries it back to its perch."", ""Coal is mixed with hot air in a power station.\nWater is sent through pipes in the power station.\nThe water pipes go through a firebox in the power station.\nThe coal is put in the air in the firebox.\nThe water heats up so it's very hot.\nThe water turns into steam.\nThe steam is pushed out of the pipes into a separate area.\nThe steam powers turbines.\nMagnets in the turbines spin in wire coils.\nElectricity is produced.""]",C2,,,,,
70,557How do you create beer?,"Making wine is a process that begins with the fermentation of grapes. The sugars in the grapes are broken down to create alcohol. This process is enabled by the addition of yeast, which converts the sugar into alcohol during the fermentation process. The alcohol produced is then used to create the final product.","A mold spore floats through the air.
The spore lands on a piece of bread.
The spore grows hyphae into the bread.
The mold forms a colony.
Sporangiophores grow upward.
The mold sends out spores.","You take some paper.
The writing tools.
You write a message describing what's on your mind.
You put the letter into an envelope.
You take the letter to the post office.
Send it to its recipient."," The fermentation process takes place, producing alcohol. After the fermentation, sugars are extracted from hops. Finally, yeast is added into the mix, converting the starches into sugars.","Beer is created by fermenting sugars that have been extracted from hops. Yeast is then added to the mixture, which converts the starches into sugars. The fermentation process then produces alcohol as a result.","[""A mold spore floats through the air.\nThe spore lands on a piece of bread.\nThe spore grows hyphae into the bread.\nThe mold forms a colony.\nSporangiophores grow upward.\nThe mold sends out spores."", ""You take some paper.\nThe writing tools.\nYou write a message describing what's on your mind.\nYou put the letter into an envelope.\nYou take the letter to the post office.\nSend it to its recipient."", "" The fermentation process takes place, producing alcohol. After the fermentation, sugars are extracted from hops. Finally, yeast is added into the mix, converting the starches into sugars."", ""Beer is created by fermenting sugars that have been extracted from hops. Yeast is then added to the mixture, which converts the starches into sugars. The fermentation process then produces alcohol as a result.""]",C4,,,,,
71,1016Describe the typical steps involved in assembling a machine.,"When packing for a vacation, the first step is to gather and collect all the necessary items. Once the items have been collected, you can begin packing them in a way that fits and maximizes the space available. It is important to arrange and organize the items in an orderly fashion to ensure that everything fits in the suitcase.","There is a fetus in the womb.
They are born and are a baby.
The baby grows into a child.
Puberty turns the child into an adolescent.
The adolescent becomes an adult.
An adult becomes an elderly person.
The elderly person dies.","Crude oil is pumped from the ground.
The crude oil is put into a tanker truck.
The crude oil is delivered to an oil refinery.
Impurities are removed from the oil.
The oil is bottled.
The bottled oil is delivered to gas stations by trucks."," The first step is to assemble the machine by fitting the various components together. Once the machine is assembled, the next step is to gather and collect the necessary parts. After the parts are collected, they should be arranged and organized in their proper order. Finally, the machine can be tested to see if it meets the desired specifications.","The first step in assembling a machine is to gather and collect the necessary parts. Once the parts are collected, they can then be assembled by fitting the various components together. After the components are assembled, they should be arranged and organized in their proper order. Finally, the machine can be tested to see if it meets the desired specifications.","["" The first step is to assemble the machine by fitting the various components together. Once the machine is assembled, the next step is to gather and collect the necessary parts. After the parts are collected, they should be arranged and organized in their proper order. Finally, the machine can be tested to see if it meets the desired specifications."", ""There is a fetus in the womb.\nThey are born and are a baby.\nThe baby grows into a child.\nPuberty turns the child into an adolescent.\nThe adolescent becomes an adult.\nAn adult becomes an elderly person.\nThe elderly person dies."", ""The first step in assembling a machine is to gather and collect the necessary parts. Once the parts are collected, they can then be assembled by fitting the various components together. After the components are assembled, they should be arranged and organized in their proper order. Finally, the machine can be tested to see if it meets the desired specifications."", ""Crude oil is pumped from the ground.\nThe crude oil is put into a tanker truck.\nThe crude oil is delivered to an oil refinery.\nImpurities are removed from the oil.\nThe oil is bottled.\nThe bottled oil is delivered to gas stations by trucks.""]",C3,,,,,
