,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,random3_target_paragraph,analogous_target_paragraph,shuffled_candidates,analogy_type,ground_truth
47,112What happens during respiration?,"During photosynthesis, light activates the chlorophyll in the plants, which allows the plant to convert carbon dioxide into sugar.
 The process also requires water, which is released from the plant as vapor.
 This process of converting carbon dioxide and water into sugar, with the help of light energy, is what makes photosynthesis possible.","Wind passes the turbines and moves the blades.
The shaft of the turbine spins.
Shaft is connected to a generator.
The generator uses the spins of the shaft to rotate a rotor.
The rotor spins inside the core, which has magnets inside surrounded by wire loops inside.
The spinning of the rotor in the core generates electricity.","You take some paper.
The writing tools.
You write a message describing what's on your mind.
You put the letter into an envelope.
You take the letter to the post office.
Send it to its recipient.","Sunlight hits chloroplasts in the plant.
The energy from the sunlight causes an enzyme in the plant to break apart the water.
The water breakes into oxygen, hydrogen, and electrons.
Hydrogen, along with electrons energized by light, converts NADP into NADPH.
Oxygen diffuses out of the plant as a waste product of photosynthesis.","During respiration, oxygen is taken in and activates the mitochondria in the cell.
 The mitochondria then convert glucose into energy, in the form of ATP.
 As a byproduct of the reaction, carbon dioxide is released as a gas.","[""Wind passes the turbines and moves the blades.\nThe shaft of the turbine spins.\nShaft is connected to a generator.\nThe generator uses the spins of the shaft to rotate a rotor.\nThe rotor spins inside the core, which has magnets inside surrounded by wire loops inside.\nThe spinning of the rotor in the core generates electricity."", ""During respiration, oxygen is taken in and activates the mitochondria in the cell.\n The mitochondria then convert glucose into energy, in the form of ATP.\n As a byproduct of the reaction, carbon dioxide is released as a gas."", ""You take some paper.\nThe writing tools.\nYou write a message describing what's on your mind.\nYou put the letter into an envelope.\nYou take the letter to the post office.\nSend it to its recipient."", ""Sunlight hits chloroplasts in the plant.\nThe energy from the sunlight causes an enzyme in the plant to break apart the water.\nThe water breakes into oxygen, hydrogen, and electrons.\nHydrogen, along with electrons energized by light, converts NADP into NADPH.\nOxygen diffuses out of the plant as a waste product of photosynthesis.""]",close analogy,C2
48,112How does the human digestive system work?,"Photosynthesis is a process that occurs in plants and certain other organisms. During photosynthesis, sunlight provides energy which is used to convert carbon dioxide and water into sugars and oxygen. This conversion takes place in the chloroplast, and the oxygen produced is released into the atmosphere.","A liquid is heated from an external source.
The heat causes the molecules in the liquid to increase in energy.
As the molecules absorb more energy, they start to move faster.
As the molecules are moving faster they are increasing in temperature.
When the molecules reach a certain temperature, the boiling point, they change from liquid to gas state.
As the liquid molecules go into a gaseous state, they float out into the atmosphere.
When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.","Fish lays eggs.
Eggs hatch.
Tiny fish called fry emerge.
Fry eat and grow.
Fry become adult fish.
Fish mate and more eggs are produced.","A tadpole is hatched.
The tadpole eventually grows hind legs.
The tadpole loses its tail.
The tadpole becomes a frog.
The frog mates with another frog to produce more offspring.
A tadpole is hatched.
The cycle begins again.","The human digestive system begins with the process of breaking down food particles.
 Food provides essential nutrients that are necessary for proper bodily functions.
 The stomach is the first organ to convert food particles into a liquid form.
 From there, the nutrients are then transported through the small intestine, where the body absorbs them.
 Finally, the waste is released into the colon and expelled from the body.","[""A tadpole is hatched.\nThe tadpole eventually grows hind legs.\nThe tadpole loses its tail.\nThe tadpole becomes a frog.\nThe frog mates with another frog to produce more offspring.\nA tadpole is hatched.\nThe cycle begins again."", ""The human digestive system begins with the process of breaking down food particles.\n Food provides essential nutrients that are necessary for proper bodily functions.\n The stomach is the first organ to convert food particles into a liquid form.\n From there, the nutrients are then transported through the small intestine, where the body absorbs them.\n Finally, the waste is released into the colon and expelled from the body."", ""Fish lays eggs.\nEggs hatch.\nTiny fish called fry emerge.\nFry eat and grow.\nFry become adult fish.\nFish mate and more eggs are produced."", ""A liquid is heated from an external source.\nThe heat causes the molecules in the liquid to increase in energy.\nAs the molecules absorb more energy, they start to move faster.\nAs the molecules are moving faster they are increasing in temperature.\nWhen the molecules reach a certain temperature, the boiling point, they change from liquid to gas state.\nAs the liquid molecules go into a gaseous state, they float out into the atmosphere.\nWhen all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.""]",far analogy,C2
49,112How does the human body metabolize food?,"During photosynthesis, chlorophyll absorbs sunlight and uses it to convert carbon dioxide and water into glucose.
 The energy from the sunlight allows for the combining of the carbon dioxide and water to produce glucose and oxygen.
 The oxygen is released into the atmosphere, while the glucose is stored in the plant's cells.","A virus enters a host body.
The virus has receptors that lock onto a target cell.
The virus enters the cell.
The virus uses the cell like a factory to make new copies of the virus.
The new copies of the virus leave the cell.
Infect other cells.
The host gets sick as its cells are damaged.","First you dig a whole.
You place a pumpkin seed in the hole.
You put some dirt over the seed.
You water the seed.
The seed will sprout.
A vine will grow.
The vine will flower.
Pumpkins will appear where the flowers were.","Water comes through a filter.
The filter has small pores to catch pollutants.
The filter will catch chlorine, heavy metals, and other chemicals.
The filter allows water and mineral ions like fluoride to pass through.
The water on the other side of the filter is much cleaner.","The human body metabolizes food through a process that involves enzymes.
 Enzymes are proteins that help to break down the food that is consumed and absorb the nutrients.
 These nutrients are then combined with oxygen in order to create energy.
 The energy produced from this reaction is then released as carbon dioxide.","[""The human body metabolizes food through a process that involves enzymes.\n Enzymes are proteins that help to break down the food that is consumed and absorb the nutrients.\n These nutrients are then combined with oxygen in order to create energy.\n The energy produced from this reaction is then released as carbon dioxide."", ""A virus enters a host body.\nThe virus has receptors that lock onto a target cell.\nThe virus enters the cell.\nThe virus uses the cell like a factory to make new copies of the virus.\nThe new copies of the virus leave the cell.\nInfect other cells.\nThe host gets sick as its cells are damaged."", ""Water comes through a filter.\nThe filter has small pores to catch pollutants.\nThe filter will catch chlorine, heavy metals, and other chemicals.\nThe filter allows water and mineral ions like fluoride to pass through.\nThe water on the other side of the filter is much cleaner."", ""First you dig a whole.\nYou place a pumpkin seed in the hole.\nYou put some dirt over the seed.\nYou water the seed.\nThe seed will sprout.\nA vine will grow.\nThe vine will flower.\nPumpkins will appear where the flowers were.""]",far analogy,C1
50,113What occurs during cellular respiration?,"During photosynthesis, chlorophyll absorbs sunlight which provides the energy needed to convert water and carbon dioxide into glucose and oxygen. The glucose produced is used for energy and the oxygen is released into the atmosphere. The carbon dioxide that is taken in is released back into the atmosphere as a byproduct.","Air goes into the lungs.
The lungs remove oxygen from the air.
Oxygen diffuses from alveoli in the lungs to the bloodstream.
Hemoglobin in red blood cells attaches to the oxygen.
Red blood cells carry oxygen all around the body.
Oxygen diffuses into cells from capillaries.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.","A type of coal must be chosen before the heating can start.
The coal is broken down to a smaller material.
The coal particles mix with hot air and move in to a boiler.
Water in the boiler is pumped and produces steam with the coal.
Steam powers turbine blades, which magnetically charge wire coals.
The water returns back in to its chamber and the process is repeated.","During cellular respiration, the mitochondria absorb oxygen from the environment. This oxygen is then used to convert glucose into energy in the form of ATP. As a result of this process, carbon dioxide is released into the atmosphere. Cellular respiration is essential for living organisms to gain the energy they need to survive.","[""A type of coal must be chosen before the heating can start.\nThe coal is broken down to a smaller material.\nThe coal particles mix with hot air and move in to a boiler.\nWater in the boiler is pumped and produces steam with the coal.\nSteam powers turbine blades, which magnetically charge wire coals.\nThe water returns back in to its chamber and the process is repeated."", ""During cellular respiration, the mitochondria absorb oxygen from the environment. This oxygen is then used to convert glucose into energy in the form of ATP. As a result of this process, carbon dioxide is released into the atmosphere. Cellular respiration is essential for living organisms to gain the energy they need to survive."", ""There is a lot of rain or a dam breaks.\nWater levels of a river or lake get higher.\nWater builds up on the ground.\nWater covers streets.\nWater gets deep in some places.\nWater goes into houses and other buildings.\nThe rain stops or the dam is repaired.\nWater flows into streams.\nThe rest of the floodwater evaporates."", ""Air goes into the lungs.\nThe lungs remove oxygen from the air.\nOxygen diffuses from alveoli in the lungs to the bloodstream.\nHemoglobin in red blood cells attaches to the oxygen.\nRed blood cells carry oxygen all around the body.\nOxygen diffuses into cells from capillaries.""]",far analogy,C2
51,116How do viruses replicate?,"Mountains are formed by tectonic plates moving apart, which causes the rock layers to be pushed up and form mountains. As the tectonic plates move apart, sediments accumulate in the area and form the mountain base. Additionally, volcanic activity can create mountains as they spew out molten rock and ash that accumulates to form a mountain.","Place your non dominate foot on the front of the skateboard.
Push off with your other foot on the ground.
Keep pushing with your dominate leg.
When comfortable put both feet on the skateboard.
Balance your body as you roll on the skateboard.","Frogs lay thousands of eggs.
Egg clusters float around in water.
Tadpoles with gills hatch from the eggs.
Tadpoles swim in water until they grow legs.
Absorbs their tails.
Then the tadpole becomes a froglet.
Then the froglet becomes a frog.","Get the ice tray.
Remove any ice cubes currently in the tray.
Fill the tray with cold water.
Ensure the tray is evenly filled to an appropriate level.
Open the freezer.
Place the tray in the freezer.
Close the freezer door.
Wait.","Viruses replicate by first separating their RNA strands to access their genetic material.
 Molecules then accumulate around the virus core and form a protective shell.
 Through enzyme activity, the virus is able to create the proteins it needs to replicate itself.
 The newly created proteins then allow the virus to spread to other cells and begin the cycle again.","[""Frogs lay thousands of eggs.\nEgg clusters float around in water.\nTadpoles with gills hatch from the eggs.\nTadpoles swim in water until they grow legs.\nAbsorbs their tails.\nThen the tadpole becomes a froglet.\nThen the froglet becomes a frog."", ""Get the ice tray.\nRemove any ice cubes currently in the tray.\nFill the tray with cold water.\nEnsure the tray is evenly filled to an appropriate level.\nOpen the freezer.\nPlace the tray in the freezer.\nClose the freezer door.\nWait."", ""Place your non dominate foot on the front of the skateboard.\nPush off with your other foot on the ground.\nKeep pushing with your dominate leg.\nWhen comfortable put both feet on the skateboard.\nBalance your body as you roll on the skateboard."", ""Viruses replicate by first separating their RNA strands to access their genetic material.\n Molecules then accumulate around the virus core and form a protective shell.\n Through enzyme activity, the virus is able to create the proteins it needs to replicate itself.\n The newly created proteins then allow the virus to spread to other cells and begin the cycle again.""]",far analogy,C4
52,135How do submarines use sonar?,"Bats use echolocation to navigate and find food. They emit high frequency sound waves that bounce off of objects in their environment. The bats then receive the echoes and interpret the information to locate their prey and navigate their surroundings. The echo provides the bats with information about the shape, size, and distance of the object.","Water from the surface seeps below the soil.
The water comes into contact with the rock below.
The rock over the years carves through the rock.
The space in the rock becomes larger and forms into a cave.
As more rather rushes through the cave becomes a cavern.","Electrical signals in the brain travel through nerves to muscles.
Two types of proteins exist in filaments in the muscles.
The filaments move when the brain instructs them to.
The motion of the filaments cause the muscle to shorten and contract.
Opposing pairs of muscles exist in order to provide the necessary range of motion.","Plants start off as a seed.
The seed germinates.
The plant gets nutrition from the environment.
The plant grows from the nutrients.
The plant produces flowers.
The flowers produce fruit.
The fruit releases seeds.
The seeds become new plants.
The original plant dies at some point.","Submarines use sonar technology to detect objects in the water. They emit sound waves, which travel through the water and bounce off the objects. The sound waves are then received back as an echo. Submarines interpret the echo to determine the distance and size of the object.","[""Submarines use sonar technology to detect objects in the water. They emit sound waves, which travel through the water and bounce off the objects. The sound waves are then received back as an echo. Submarines interpret the echo to determine the distance and size of the object."", ""Water from the surface seeps below the soil.\nThe water comes into contact with the rock below.\nThe rock over the years carves through the rock.\nThe space in the rock becomes larger and forms into a cave.\nAs more rather rushes through the cave becomes a cavern."", ""Electrical signals in the brain travel through nerves to muscles.\nTwo types of proteins exist in filaments in the muscles.\nThe filaments move when the brain instructs them to.\nThe motion of the filaments cause the muscle to shorten and contract.\nOpposing pairs of muscles exist in order to provide the necessary range of motion."", ""Plants start off as a seed.\nThe seed germinates.\nThe plant gets nutrition from the environment.\nThe plant grows from the nutrients.\nThe plant produces flowers.\nThe flowers produce fruit.\nThe fruit releases seeds.\nThe seeds become new plants.\nThe original plant dies at some point.""]",far analogy,C1
53,135How does a radar system locate objects?,"Bats use echolocation in order to navigate in the dark. They emit sound waves which travel through the air and bounce off objects. The bats then detect the sound reflections and interpret them to determine the location of the object. This process is known as echo location, and it allows the bats to map out their environment and locate prey.","Owls hunt around their hunting territory away from where they roost during the day.
They sit still on a perch, like a stump of branch, and wait for prey.
They use their highly sensitive hearing to locate prey that cannot be seen.
They use their very keen vision to see prey in the dark.
They fly silently, without flapping their wings, in order to surprise the prey.
The owl silently glides or drops on its prey, grabbing it with its talons and beak.
The owl eats the prey, or carries it back to its perch.","You breathe in.
Diaphragm and other muscles expand to allow room for your lungs to fill.
The air flows into the narrow bronchioles in the lungs.
From the bronchioles to the alveoli.
The oxygen enters into the bloodstream.
Is switched with the carbon dioxide in the bloodstream.
The carbon dioxide enters through the alveoli.
Through the narrow bronchioles.
Into the lungs.
The carbon dioxide is exhaled out of the body.","You inhale air through your nose and mouth.
The air travels down into your lungs.
Oxygen from the air goes into your bloodstream.
Oxygen circulates throughout the body due to the heart's pumping.
Carbon dioxide travels from the blood into the lungs.
Carbon dioxide travels from the lungs up the windpipe.
Carbon dioxide is exhaled.","A radar system uses electromagnetic waves to locate objects. The radar emits electromagnetic waves that travel outward in all directions. When these waves encounter an object, they are reflected back to the radar. The radar is then able to detect the reflections of the electromagnetic waves and interpret the radar signals to determine the location of the object.","[""You inhale air through your nose and mouth.\nThe air travels down into your lungs.\nOxygen from the air goes into your bloodstream.\nOxygen circulates throughout the body due to the heart's pumping.\nCarbon dioxide travels from the blood into the lungs.\nCarbon dioxide travels from the lungs up the windpipe.\nCarbon dioxide is exhaled."", ""A radar system uses electromagnetic waves to locate objects. The radar emits electromagnetic waves that travel outward in all directions. When these waves encounter an object, they are reflected back to the radar. The radar is then able to detect the reflections of the electromagnetic waves and interpret the radar signals to determine the location of the object."", ""You breathe in.\nDiaphragm and other muscles expand to allow room for your lungs to fill.\nThe air flows into the narrow bronchioles in the lungs.\nFrom the bronchioles to the alveoli.\nThe oxygen enters into the bloodstream.\nIs switched with the carbon dioxide in the bloodstream.\nThe carbon dioxide enters through the alveoli.\nThrough the narrow bronchioles.\nInto the lungs.\nThe carbon dioxide is exhaled out of the body."", ""Owls hunt around their hunting territory away from where they roost during the day.\nThey sit still on a perch, like a stump of branch, and wait for prey.\nThey use their highly sensitive hearing to locate prey that cannot be seen.\nThey use their very keen vision to see prey in the dark.\nThey fly silently, without flapping their wings, in order to surprise the prey.\nThe owl silently glides or drops on its prey, grabbing it with its talons and beak.\nThe owl eats the prey, or carries it back to its perch.""]",far analogy,C2
54,135How does a radar system work?,"Bats use echolocation to navigate in the dark. They emit sound waves from their mouth or nose, and then listen to the echoes that bounce back from objects in the environment. By interpreting the echoes, bats can determine the size and shape of objects, as well as their distance and direction.","A machine called a pulverizer grinds the coal into a fine powder.
The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.
The burning coal heats water in a boiler, creating steam.
Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.
The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.
This happens when magnets inside a copper coil in the generator spin.
A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.
The water returns to the boiler, and the cycle begins again.","Ocean waves hit land.
Ocean water pulls sand off of beaches.
Ocean water breaks rocks off of cliffs.
Ocean water carries sand and rocks into the ocean.
Sand and rocks go to other land or the bottom of the ocean.","Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves.","A radar system works by emitting radio waves into the environment.
 These radio waves travel outward, and bounce off objects in their path.
 The radar then listens to the reflections of the radio waves, and interprets them to determine the location, speed, and size of objects in the environment.","[""Limestone is located under the soil.\nRain picks up carbon dioxide as it falls to earth.\nThe rain falls on the soil over the limestone.\nThe carbon dioxide in the rain washes through the soil.\nThe carbon dioxide turns into acid.\nThe acid in the rain gets to the limestone below the soil.\nThe acid dissolves the limestone.\nAcid continues to erode the limestone with more rain over time.\nThe eroded limestone sometimes forms caves."", ""A radar system works by emitting radio waves into the environment.\n These radio waves travel outward, and bounce off objects in their path.\n The radar then listens to the reflections of the radio waves, and interprets them to determine the location, speed, and size of objects in the environment."", ""Ocean waves hit land.\nOcean water pulls sand off of beaches.\nOcean water breaks rocks off of cliffs.\nOcean water carries sand and rocks into the ocean.\nSand and rocks go to other land or the bottom of the ocean."", ""A machine called a pulverizer grinds the coal into a fine powder.\nThe coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.\nThe burning coal heats water in a boiler, creating steam.\nSteam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.\nThe spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.\nThis happens when magnets inside a copper coil in the generator spin.\nA condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.\nThe water returns to the boiler, and the cycle begins again.""]",far analogy,C2
55,135How do dolphins use sonar?,"Bats use echolocation to navigate and find food. They emit high frequency sound waves, which then travel through the environment and reflect off of objects. The sound waves are then sent back to the bat in the form of echoes. The bats interpret these echoes to determine the size, shape, and location of the objects.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.","Add water to a pot.
Put the pot over a source of heat.
Turn the heat on.
Wait for a few minutes.
Begin to observe small bubbles in the water.
Wait until the water starts to bubble a lot.
Wait until you can see steam rising from the water.
Turn the heat source off.
Take the pot off of the heat source.","A frog lays eggs in the water.
Tadpoles develop inside of the eggs.
The eggs hatch.
The tadpoles eat and grow.
The tadpoles grow legs and form into frogs.
The frogs leave the water.","Dolphins use their sonar abilities to navigate and find food in murky waters. They emit sound waves which travel through the water, bouncing off objects and reflecting back to the dolphin. The dolphin is able to interpret the echoes to understand the environment and locate objects. The sound waves can also help the dolphin determine the size and shape of the object it is sensing.","[""Add water to a pot.\nPut the pot over a source of heat.\nTurn the heat on.\nWait for a few minutes.\nBegin to observe small bubbles in the water.\nWait until the water starts to bubble a lot.\nWait until you can see steam rising from the water.\nTurn the heat source off.\nTake the pot off of the heat source."", ""A frog lays eggs in the water.\nTadpoles develop inside of the eggs.\nThe eggs hatch.\nThe tadpoles eat and grow.\nThe tadpoles grow legs and form into frogs.\nThe frogs leave the water."", ""There is a lot of rain or a dam breaks.\nWater levels of a river or lake get higher.\nWater builds up on the ground.\nWater covers streets.\nWater gets deep in some places.\nWater goes into houses and other buildings.\nThe rain stops or the dam is repaired.\nWater flows into streams.\nThe rest of the floodwater evaporates."", ""Dolphins use their sonar abilities to navigate and find food in murky waters. They emit sound waves which travel through the water, bouncing off objects and reflecting back to the dolphin. The dolphin is able to interpret the echoes to understand the environment and locate objects. The sound waves can also help the dolphin determine the size and shape of the object it is sensing.""]",close analogy,C4
56,135How do whales use sonar?,"Bats use echolocation to navigate and locate prey.
 They emit ultrasound waves which bounce off objects and return back to the bats as echoes.
 The bats then receive these echoes and interpret the sound waves.
 They use the echoes to determine the size, shape and distance of their prey and surroundings.","Bees first secure the perfect spot, such as hollow areas of trees.
Bees will begin to chew max until it becomes softened.
The chewed up wax will be stored inside of a honeycomb.
Worker bees continue chewing and softening wax from within.
The chewed up wax is steadily added, making the hive bigger and bigger.
The bees will house nectar, honey and pollen within the honeycomb's cells.","The coal is placed in a heater.
The coal is super heated.
The heat is connected to a boiler.
The boiler is full of water.
The heat turns the water into steam.
The steam turns a generator.
The generator produces the electricity.","Dirty dishes are rinsed.
Placed into the dishwasher.
A detergent is added to the detergent dispenser.
The dishwasher is closed.
The power is turned on.
In about 1.5-2 hours, the dishes are clean.","Whales use sonar in order to navigate their environment. They emit sound waves which travel through the water and bounce off of objects in the environment. The whales receive echoes from the objects and interpret them to determine the location and composition of the objects. By doing this, whales can map out their surroundings and find food.","[""Whales use sonar in order to navigate their environment. They emit sound waves which travel through the water and bounce off of objects in the environment. The whales receive echoes from the objects and interpret them to determine the location and composition of the objects. By doing this, whales can map out their surroundings and find food."", ""Dirty dishes are rinsed.\nPlaced into the dishwasher.\nA detergent is added to the detergent dispenser.\nThe dishwasher is closed.\nThe power is turned on.\nIn about 1.5-2 hours, the dishes are clean."", ""Bees first secure the perfect spot, such as hollow areas of trees.\nBees will begin to chew max until it becomes softened.\nThe chewed up wax will be stored inside of a honeycomb.\nWorker bees continue chewing and softening wax from within.\nThe chewed up wax is steadily added, making the hive bigger and bigger.\nThe bees will house nectar, honey and pollen within the honeycomb's cells."", ""The coal is placed in a heater.\nThe coal is super heated.\nThe heat is connected to a boiler.\nThe boiler is full of water.\nThe heat turns the water into steam.\nThe steam turns a generator.\nThe generator produces the electricity.""]",close analogy,C1
57,139How does an air conditioning system works?,"When we inhale, air enters the lungs. Oxygen molecules are then absorbed by small air sacs called alveoli. The oxygen is then transported to the bloodstream while carbon dioxide is exhaled from the lungs. This exchange of gases is essential for life and is facilitated by the lungs.","Pressure happens underground.
Tectonic plates underground pull and stretch.
Small cracks are formed in the earth's crust.
The tectonic plates push hard against each other.
Some parts of the earth's crust move up high above the ground.","Carbon dioxide passes through stomata in the leaves.
Water is absorbed through roots.
Chloroplast cells in leaves contain chlorophyll.
Chlorophyll absorbs energy from sunlight.
Energy splits water molecules into hydrogen and oxygen.
Oxygen gets released into atmosphere.
Hydrogen and carbon dioxide used to create glucose.
Glucose is food for plants.","You gather a writing utensil and a piece of paper.
You use the writing utensil to compose your letter on the paper.
You fold the paper.
Place it into an envelope.
You write the address of the recipient on the outside of the envelope.
You seal the envelope with moisture or tape.
You apply a stamp to the outside of the envelope.
You put the envelope in a mailbox for a letter carrier to collect.
The letter carrier takes the envelope to the correct address.","Air enters the air conditioning system where it is cooled by the coolant that is absorbed by the evaporator.
 The air is then circulated throughout the space, cooling it down.
 The hot air that has been cooled is then exhaled from the condenser, completing the cycle.","[""Pressure happens underground.\nTectonic plates underground pull and stretch.\nSmall cracks are formed in the earth's crust.\nThe tectonic plates push hard against each other.\nSome parts of the earth's crust move up high above the ground."", ""Carbon dioxide passes through stomata in the leaves.\nWater is absorbed through roots.\nChloroplast cells in leaves contain chlorophyll.\nChlorophyll absorbs energy from sunlight.\nEnergy splits water molecules into hydrogen and oxygen.\nOxygen gets released into atmosphere.\nHydrogen and carbon dioxide used to create glucose.\nGlucose is food for plants."", ""Air enters the air conditioning system where it is cooled by the coolant that is absorbed by the evaporator.\n The air is then circulated throughout the space, cooling it down.\n The hot air that has been cooled is then exhaled from the condenser, completing the cycle."", ""You gather a writing utensil and a piece of paper.\nYou use the writing utensil to compose your letter on the paper.\nYou fold the paper.\nPlace it into an envelope.\nYou write the address of the recipient on the outside of the envelope.\nYou seal the envelope with moisture or tape.\nYou apply a stamp to the outside of the envelope.\nYou put the envelope in a mailbox for a letter carrier to collect.\nThe letter carrier takes the envelope to the correct address.""]",far analogy,C3
58,140How does a mechanical system of air compressor work?,"The lungs are responsible for exchanging oxygen and carbon dioxide in the body. When we take a breath, oxygen enters the lungs. This is facilitated by the diaphragm contracting and expanding the chest cavity. The oxygen is then transported to the alveoli, where it is exchanged for carbon dioxide and then expelled out of the body.","Coal is burned in a boiler.
Steam is produced under pressure.
Flows into a turbine.
The turbine spins.
Creates electricity.","Living organisms in the sea die.
The matter forms on the sea floor.
Layers of sediment form above the matter compressing it.
After many years the matter is compressed and heated.
The result is that crude oil forms.","Waste products are deposited in the blood.
Blood is carried to the kidneys through the renal arteries.
The kidneys contain filters inside.
The filters capture the waste products.
The waste is combined with water to make urine.
The urine leaves the kidney and is collected in the bladder.
The cleaned blood is returned to the body.","A mechanical system of air compressor works by having air enter the compressor.
 The air is then compressed by a piston that contracts within the cylinder.
 A valve is used to exchange the air and exhaust.
 The valve opens to allow air in and closes to push the compressed air out.
 The process is repeated until the desired pressure is achieved.","[""Waste products are deposited in the blood.\nBlood is carried to the kidneys through the renal arteries.\nThe kidneys contain filters inside.\nThe filters capture the waste products.\nThe waste is combined with water to make urine.\nThe urine leaves the kidney and is collected in the bladder.\nThe cleaned blood is returned to the body."", ""Living organisms in the sea die.\nThe matter forms on the sea floor.\nLayers of sediment form above the matter compressing it.\nAfter many years the matter is compressed and heated.\nThe result is that crude oil forms."", ""A mechanical system of air compressor works by having air enter the compressor.\n The air is then compressed by a piston that contracts within the cylinder.\n A valve is used to exchange the air and exhaust.\n The valve opens to allow air in and closes to push the compressed air out.\n The process is repeated until the desired pressure is achieved."", ""Coal is burned in a boiler.\nSteam is produced under pressure.\nFlows into a turbine.\nThe turbine spins.\nCreates electricity.""]",far analogy,C3
59,140How do the kidneys work?,"The lungs absorb oxygen from the air and expel carbon dioxide. This exchange of gases happens in the alveoli, which are tiny air sacs at the end of the bronchial tubes. Oxygen is taken in, and carbon dioxide is released. The alveoli allow oxygen to be circulated throughout the body while carbon dioxide is removed.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.","Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.","Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.","The kidneys are responsible for many important functions in the body.
 They absorb nutrients and expel waste.
 The process of absorption and elimination is facilitated by the nephrons, which are small structures that exchange fluids in the kidneys.
 The nephrons filter the blood and absorb the necessary nutrients, while also expelling the waste and other harmful substances from the body.","[""There is a lot of rain or a dam breaks.\nWater levels of a river or lake get higher.\nWater builds up on the ground.\nWater covers streets.\nWater gets deep in some places.\nWater goes into houses and other buildings.\nThe rain stops or the dam is repaired.\nWater flows into streams.\nThe rest of the floodwater evaporates."", ""Water evaporates from the ground up to the sky.\nWater droplets are in clouds.\nDroplets combine to form bigger drops in the clouds.\nThe drops get heavy.\nGravity makes the drops fall."", ""The kidneys are responsible for many important functions in the body.\n They absorb nutrients and expel waste.\n The process of absorption and elimination is facilitated by the nephrons, which are small structures that exchange fluids in the kidneys.\n The nephrons filter the blood and absorb the necessary nutrients, while also expelling the waste and other harmful substances from the body."", ""Sediment settles in a place due to gravity.\nThe sediment breaks down into small particles.\nWind or water picks up the sediment.\nThe sediment travels along the same route as the wind or water.\nThe sediment is deposited at new locations by the wind or water.\nThe sediment is picked up again by new wind or water.\nThe sediment travels further.\nThe sediment is deposited again in a new place.""]",close analogy,C3
