,sample_id,source_paragraph,target_paragraph,ground_truth,type
10,1183How does a sewage treatment plant work?,"A water purifier works by passing water through filters that remove impurities. The process of sedimentation is used to separate solid particles from the water. Finally, chlorine is used to disinfect the water, ensuring that it is safe to use.","Place the water in a pot.
Cover the pot with a slightly too large cover.
Place a larger pot under the first.
Heat water to evaporation.
Water vapor will collect on the lid.
Drip into the second pot as fresh water.
Salt is left behind in the original pot.",0,random
11,466Describe the process of dialysis,"Desalination is the process of removing salts from saltwater. The saltwater is filtered through a membrane, which acts as a barrier to separate the salts from the water. Reverse osmosis is then used to purify the water, leaving only fresh, drinkable water.","Dirty dishes are rinsed.
Placed into the dishwasher.
A detergent is added to the detergent dispenser.
The dishwasher is closed.
The power is turned on.
In about 1.5-2 hours, the dishes are clean.",0,random
12,769How do algae get the energy they need?,"Green plants get their energy from the sun. Sunlight is used to initiate photosynthesis, the process by which plants create energy. Chlorophyll, the pigment found in plants, absorbs the sunlight and uses it to convert carbon dioxide and water into energy-rich molecules. The carbon dioxide and water combine to form carbohydrates, which are the main source of energy for the plant.","Algae gets the energy it needs from the sun. Sunlight initiates photosynthesis, which is the process in which algae convert sunlight into energy. Chlorophyll, which is the pigment in algae, absorbs the energy from the sunlight. Carbon dioxide and water then combine to form glucose, which is used by the algae for energy.",1,analogy
13,924How does an air conditioning system work?,"The lungs are responsible for taking in oxygen from the air. The oxygen is then distributed throughout the body. The lungs also exhale carbon dioxide, which is a waste product produced by the body. In addition, the lungs also filter out pollutants from the air that we breathe."," An air conditioning system uses a fan to take in air from the environment. Then, a filter is used to remove contaminants such as dust and pollen from the air. After filtering, the air passes through the air conditioner, which expels cold air into the room. Finally, the cool air circulates through the room, resulting in a comfortable temperature.",0,distractor
14,536How does the lymphatic system remove waste from the human body?,"Blood transports waste away from the body. Red blood cells absorb toxins and other impurities and transport them to the kidneys, where they are filtered out and removed from the body.","The lymphatic system is responsible for transporting waste from the tissues of the body. It works by collecting excess fluids, proteins, and other molecules from the tissues and transporting them to the bloodstream. Lymphocytes, specialized cells in the lymphatic system, absorb toxins and impurities from the body. The lymph nodes then act as filters to remove any impurities from the lymphatic fluid before it is returned to the bloodstream.",1,analogy
15,528Describe the behavior of a rabbit in its natural habitat,"A rabbit's life cycle begins when an infant grows into an adult. As the rabbit matures, it develops physical and cognitive skills. During adolescence, the rabbit experiences hormonal changes which prepare it for adulthood. Once the rabbit is an adult, it is capable of reproducing offspring.","Green is a color that gathers sunlight easily.
Sunlight is gathered by the leaves of the plant.
The sunlight is broken down into glucose through photosynthesis.
The glucose travels the plant.
The plant uses that glucose as energy to grow.",0,random
16,229How does a levee system help stop flooding?,"Dams are used to block the flow of water and regulate water levels in order to prevent flooding. They act as barriers in rivers and streams, allowing the water to accumulate and be stored. The dams help to control the water levels and direct the flow of water to prevent flooding.","Levees are structures built to block the flow of water and regulate the water levels. They can be built along rivers, coasts, or lakes to prevent flooding by blocking the water from entering the surrounding land. Levees also help to store water and control the water levels in an area. The levee system helps to prevent flooding by controlling the flow of water and regulating the water levels in an area.",1,analogy
17,382How does a pathogen cause infection?,"A virus is a pathogen that is able to replicate itself and enter a host cell. Once inside the host cell, the virus is able to take over the cell's resources and use them to produce more viruses, as well as toxins that can cause damage to the host. The toxins produced by the virus can cause the host to become ill, leading to the development of a disease.","Muscles work by expanding and contracting.
A muscle fiber gets a signal from its nerve.
Proteins and chemicals release energy to either contract the muscle or relax it.
When the muscles contracts the bones connected to he muscle are pulled closer together.
When the muscle relaxes the bones move farther apart.",0,random
18,511How do lunar eclipses occur?,"Solar eclipses occur when the sun and moon are aligned in a way that the sun blocks the light from the moon. The Earth's shadow darkens the moon, resulting in a solar eclipse. This interplay of light and shadow is caused by the orbital alignment of the sun, moon and Earth.","People breathe and expel carbon dioxide.
Engines produce carbon dioxide.
Living things produce waste.
Waste decomposes.
Decomposition produces methane.
Water evaporates.
Water vapor joins the atmosphere.
Carbon dioxide, water vapor and methane are greenhouse gases.",0,random
19,413How does a wireless communication system work?,"The human auditory system works by detecting sound waves. The ears pick up sound waves, which are then sent to the cochlea. The cochlea then converts these sound waves into electrical signals. These electrical signals are sent to the auditory nerve, which then transmits them to the brain. This is how we hear sound.",A wireless communication system works by using an antenna to detect radio waves in the air. The transmitter then converts the radio waves into electrical signals. The wireless router then transmits these electrical signals to the receiver. The receiver then converts the electrical signals back into radio waves and sends them back out into the air.,1,analogy
20,298Describe how viruses can cause disease.,"Bacteria can cause disease when they invade the cells of an organism. These bacteria can produce toxic substances that can damage tissue and cells. Furthermore, these bacteria can replicate rapidly and spread to other parts of the body, leading to an infection.","Oxygen enters the body through the mouth or nose.
The oxygen travels into the lungs.
The oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).
The erythrocytes are pumped through the body by the heart.
All cells receive the oxygen.",0,random
21,212How does the hydrological cycle work?,"Rain occurs when the sun heats the atmosphere and causes evaporation, which releases moisture into the air. The air carries the water vapor, which rises and cools and eventually condenses into clouds. When the clouds become too heavy with water vapor, they release the rain.","DNA replication is initiated by proteins.
The hydrogen bonds that hold together a strand of DNA are broken.
A polymerase reads each side of the strand.
Adds complimentary nucleotides.
Once all the bases are matched, the new DNA strand is formed.
DNA ligase seals the new pieces into two new strands.",0,random
22,539How does the circulatory system process oxygen in the human body?,"Lungs are responsible for providing oxygen to the body. The alveoli are tiny air sacs in the lungs that exchange gases between the air and blood. When we take a breath, oxygen from the air is inhaled into the lungs and then absorbed into the bloodstream. The oxygen is then carried to the cells where it is used to create energy. The alveoli also exchange carbon dioxide from the cells and exhale it back into the atmosphere. Thus, the lungs allow us to breathe in oxygen and exhale carbon dioxide.","Grapes are grown.
A selection of grapes are gathered.
The grapes are washed.
The stems are removed from the grapes.
The grapes are crushed and added to a fermation container.
Yeast is added to the container.
The yeast eats the sugar in the yeast, releasing alcohol.",0,random
23,739How do birds and insects aid in pollination?,"Animals play an important role in helping plants disburse seeds. Mammals such as deer and squirrels are known to disperse seeds from fruits and vegetables. Rodents such as mice and rats are known to carry acorns, nuts, and other seeds around in their fur. Rabbits even have the habit of burying some of the nuts they find to help with seed disbursement."," Bees play a key role in pollination as they collect nectar from flowers and carry it to other plants. Following the bees, birds aid in pollination by dispersing pollen from flower to flower. Finally, butterflies also help in pollination by landing on flowers and transferring the pollen from one flower to another.",0,distractor
24,1058How does an automated washing machine work?,"The dishwasher works by circulating water throughout the appliance with a pump. The water is then sprayed onto the dishes through a pair of spinning spray arms. A heating element is used to warm the water before it is sprayed onto the dishes, ensuring a thorough clean."," The motor activates a heating element, which warms up the detergent to facilitate the cleaning process. Then, the agitator spins the clothes inside the drum to ensure that the detergent and water cover them. Finally, the automated washing machine uses a motor to circulate the detergent around the drum of the machine.",0,distractor
25,739How do birds and insects aid in pollination?,"Animals play an important role in helping plants disburse seeds. Mammals such as deer and squirrels are known to disperse seeds from fruits and vegetables. Rodents such as mice and rats are known to carry acorns, nuts, and other seeds around in their fur. Rabbits even have the habit of burying some of the nuts they find to help with seed disbursement.","Birds play an important role in aiding pollination by dispersing pollen from flower to flower. Bees are also key pollinators, since they collect nectar from flowers and carry it to other plants. Additionally, butterflies help spread pollen by landing on flowers and transferring the pollen from one flower to another.",1,analogy
26,433How do you grow crops?,"To grow vegetables, the first step is to plant the seeds in the soil. The soil should also be fertilized with nutrients to ensure the plants get the required nourishment. The plants need energy to grow, and this energy is provided by the sunlight. Finally, water should be added to the soil to nourish the plants and help them reach maturity."," Fertilizer is added to the farmland to increase the nutrient content. After the farmland is fertilized, seeds are planted. Sunlight then provides the necessary nutrients for the crops to thrive. Finally, water is provided to nourish the crops.",0,distractor
27,565How does a diesel engine work?,"A steam engine works by producing steam in the boiler. This steam is then directed into a cylinder, where it pushes a piston up and down, creating a mechanical motion. A valve regulates the flow of steam into the cylinder, allowing the operator to control the motion of the piston.","Water evaporates from the ground up to the sky.
Water droplets are in clouds.
The air gets cold.
Water droplets turn into ice crystals.
Ice crystals in clouds stick together and become snowflakes.",0,random
28,619Describe how carbon dioxide is transported from cells to the lungs,"Oxygen is transported to cells in the body through a number of ways. Oxygen diffuses across the cell membranes, allowing the cells to absorb it. Hemoglobin, the protein responsible for carrying oxygen in the blood, binds to oxygen and carries it through the body. Finally, oxygen is delivered to cells via the capillaries, which carry oxygen to various parts of the body.","The roots are within the soil.
Water and nutrients move from the soil into the root structure.
The roots are selective on what can go through.
Only wanted elements are passed to within the plant.
The nutrients travels through the plants circulatory system.",0,random
29,1310Describe how humans prepare for winter,"Squirrels prepare for winter by storing food for the cold months. They gather nuts and other edible items to bury for future use. They also build nests in hollow trees and other areas to provide a warm home during the winter. To further insulate their homes, squirrels line their nests with leaves and other materials to keep the warmth inside.",Humans prepare for winter by storing supplies to last them through the season. They also build shelters to protect themselves from the cold and insulate their houses to keep the heat in. These activities help humans to survive the cold winter months.,1,analogy
30,1298How do lungs filter air?,"The glomeruli are specialized capillaries that act as filters to remove fluids from the blood. The filtrate is then collected in the glomerular capsule. The filtrate is then passed down the renal tubule, where it is reabsorbed back into the blood. Electrolytes are also reabsorbed back into the blood by the renal tubule."," The lungs filter the air. Then, the alveolar sac reabsorbs moisture from the air before it is released back into the environment. Afterward, alveoli filter out gases from the air. Finally, the filtered air is collected through the bronchioles and transferred to the alveolar sac.",0,distractor
31,522Describe the life cycle of a human,"The life cycle of a bird begins with an egg, which hatches into a chick. As the chick matures, it develops into a juvenile, then an adult. The adult bird reproduces and creates an egg, thus beginning the cycle anew.","Food.
Water enter the body.
Bloodstream.
Food and water enter the pancreas.
The pancreas breaks down carbs.
Helps digest other foods and liquids.",0,random
32,925How does a gas exchange system operate?,"The lungs are responsible for respiration, which is the process of exchanging oxygen and carbon dioxide. The lungs absorb oxygen from the air we breathe in and release carbon dioxide as we exhale. The diaphragm is a muscle in the chest cavity which powers respiration and contracts to create a vacuum within the chest cavity that draws air into the lungs."," The bronchi absorb air from the atmosphere. Then, the diaphragm powers the gas exchange, providing the necessary pressure. Afterward, the air enters the lungs and is further processed by the alveoli. Finally, the alveoli release carbon dioxide.",0,distractor
33,377Describe how nutrients are absorbed by cells in the body,"Oxygen is transported through the bloodstream and binds to hemoglobin molecules. Once the oxygen-rich hemoglobin enters the tissue, oxygen diffuses across the cell membrane and is able to reach the cells in the body. The oxygen is then used by the cells to support their metabolic activities.","Nutrients are absorbed by cells in the body by a process of diffusion. These nutrients diffuse across the cell membrane and bind to proteins. The proteins transport the nutrients through the bloodstream, allowing the cells to absorb them.",1,analogy
34,443How do robots pollinate plants?,"Bees collect nectar from flowers and transfer the pollen to other flowers while they are doing so. This process is known as pollination, and it helps the flowers to reproduce. As the bees move from flower to flower, they are effectively transferring pollen and helping to facilitate the pollination of plants.","Robots are designed to collect pollen from flowers and transfer it to other flowers. This process of transferring the pollen from one flower to another helps to pollinate the flowers. The robots are able to accurately identify the flowers in need of pollination and deliver the pollen to the correct location. By doing so, the robots are able to successfully pollinate the plants.",1,analogy
35,316What happens during corrosion?,"Weathering is the process of breaking down of rocks due to external forces. Temperature accelerates this process, as warmer temperatures cause the rock to expand and contract, causing it to crack. Additionally, rain erodes the rock surface and sunlight weakens the rock composition. All of these factors contribute to the process of weathering."," When a metal is exposed to an electrolyte, it creates an acid that erodes the metal surface. After the acid is created, the electrolyte accelerates corrosion by introducing electrons to the metal surface. Finally, oxygen weakens the metal composition, further contributing to the corrosion process.",0,distractor
36,22How are canyons formed?,"Valleys are formed due to erosion caused by rainwater. The rainwater erodes the sediment and creates the valleys. Rivers also play a role in the formation of valleys, as they create steep walls on either side of the valley."," The erosion wears away the rock and creates steep walls. After the walls are formed, canyons are formed due to erosion from flowing water. Finally, streams of water flow through the canyons and continue to erode the rocks and create deeper crevices.",0,distractor
37,936What happens during weathering by wind?,"The ocean's waves erode the coastline, carrying away sediment from the beaches. The water also dissolves minerals from the land, further contributing to erosion. As the waves hit the shore, they break down the rocks and soil and carry it away, slowly wearing down the coastline.","Wind is a powerful force that can erode rocks and carry dust away to the plains. The air can also dissolve minerals, which can be washed away by rain or blown away by the wind. Wind can also cause abrasion, which occurs when particles erode rock surfaces. This process can cause rocks to break up into smaller pieces over time.",1,analogy
38,229How does a levee system help stop flooding?,"Dams are used to block the flow of water and regulate water levels in order to prevent flooding. They act as barriers in rivers and streams, allowing the water to accumulate and be stored. The dams help to control the water levels and direct the flow of water to prevent flooding.","Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",0,random
39,642Describe the life cycle of a butterfly,"A frog's life cycle begins with eggs, which are laid in water. After hatching, the eggs become tadpoles. The tadpoles undergo a transformation, growing legs and lungs, until they become fully developed frogs. The frogs then lay eggs, which hatch into tadpoles, completing the cycle."," The life cycle of a butterfly begins when the female butterfly lays eggs. Then, the caterpillars transform into butterflies. After transformation, the eggs hatch into caterpillars. The caterpillars feed and grow. Finally, the butterflies reproduce and lay eggs.",0,distractor
40,1051How does corrosion occur?,"Rust is a form of oxidation that occurs when oxygen reacts with iron. This reaction causes the iron to corrode and form rust. The presence of water accelerates the rusting process, as it helps to break down the iron and encourages the oxidation reaction."," When acid is present, it accelerates the oxidation process and leads to rapid corrosion. Following this, oxidation starts to take place. Finally, corrosion occurs due to the oxidation of metal atoms.",0,distractor
41,1310Describe how bears hibernate.,"Squirrels prepare for winter by storing acorns and gathering food to last them through cold months. They also create nests in tree hollows or in the ground, which provide insulation and keep them warm. Acorns provide a good source of food for squirrels, and by storing them, they are able to ensure that they have enough food for the winter.","Water flows into the dishwasher.
The dishwasher heats the water.
The detergent dispenser opens at the right time.
Water is shot through the jets to clean the dishes.
The dirty water is drained.
More water is sprayed to rinse the dishes.
The water is drained again.
The air is heated in the dishwasher to dry the dishes.",0,random
42,565How does a diesel engine work?,"A steam engine works by producing steam in the boiler. This steam is then directed into a cylinder, where it pushes a piston up and down, creating a mechanical motion. A valve regulates the flow of steam into the cylinder, allowing the operator to control the motion of the piston."," The hot air produced by the combustion pushes the piston up and down in the cylinder. Following this, pressure is created by the combustion of fuel within a combustion chamber in a diesel engine. Finally, the valve regulates the flow of fuel, controlling the timing of the piston's movement and the overall speed of the engine.",0,distractor
43,298How do viruses spread infection?,"Bacteria can cause disease by releasing toxins into the body. These toxins can be very harmful and can damage cells. Bacteria can also invade and colonize cells, causing inflammation and damage to the tissue. In addition, some bacteria can produce substances that can further harm the cells leading to further inflammation and the development of the disease.","Viruses spread infection by invading healthy cells in the body. Once inside the cells, they release antigens that trigger an immune response, causing inflammation. This inflammation can lead to tissue damage and further spread of the virus. The presence of viruses can also cause the body to produce antibodies that can help fight the infection.",1,analogy
44,874How does a mineral get from the ground to a processing plant?,"Oil is extracted from rock in the ground using a process called drilling. It is then transported through a pipeline to a refinery. At the refinery, the oil is converted into different products such as gasoline, diesel and other petroleum products. The gasoline is then transported to a gas station for use.","Water in the clouds becomes very cold.
The cold water forms ice crystals.
The ice crystals grow by absorbing surrounding water droplets.
Form snowflakes.
The snowflakes fall to the ground.",0,random
45,1058How does a washing machine work?,"When the dishwasher is turned on, detergent is released and it begins to dissolve grease and dirt on the dishes. A pump then circulates hot water around the dishwasher. The water is sprayed out of the spray arm, which reaches all the dishes and helps to remove the dirt and grease. The detergent helps to break down the dirt and grease and the water pressure from the spray arm helps to remove it from the dishes.","A washing machine uses detergent to dissolve dirt and stains on clothes. A motor is used to circulate water and detergent through the laundry. An agitator is then used to agitate the clothes, helping to remove the dirt and stains. The agitator also helps to circulate the water and detergent throughout the load.",1,analogy
46,225How does a solar-powered water pump work?,"A battery-operated sewing machine works by supplying electricity from the battery to the motor. The motor then turns the drive shaft, which causes the needle to move up and down through the fabric. The electricity supplied by the battery is necessary to power the motor which in turn causes the needle to move up and down."," The solar panel is first attached to the pump. Immediately after, the water flows into the pump due to the movement of the valve. Then, the solar panel supplies electricity to the motor by utilizing energy from the sun. Following this, the motor turns an impeller to create suction and pressure. Finally, the suction and pressure from the motor cause the valve to move up and down.",0,distractor
47,920What causes an earthquake to happen?,"Volcanic eruptions occur when magma rises within the volcano. As the magma rises, pressure builds up, leading to an eruption. The gas that accumulates in the magma chamber also contributes to the pressure, increasing the likelihood of an eruption.","Earthquakes happen when tectonic plates move. The movement of the plates creates pressure, which builds up energy in the form of seismic waves. When the plates move, stress accumulates along the fault line. The build-up of energy and stress eventually result in an earthquake.",1,analogy
48,1142Describe how human activities can negatively impact the environment,"Forest fires can have a devastating impact on animals. The flames from the fire can destroy the habitat of animals, reducing the available resources they need to survive. Additionally, the smoke from the forest fire can pollute the air quality, making it harder for animals to breathe.","You inhale air through your nose and mouth.
The air travels down into your lungs.
Oxygen from the air goes into your bloodstream.
Oxygen circulates throughout the body due to the heart's pumping.
Carbon dioxide travels from the blood into the lungs.
Carbon dioxide travels from the lungs up the windpipe.
Carbon dioxide is exhaled.",0,random
49,642Describe the life cycle of a butterfly,"A frog's life cycle begins with eggs, which are laid in water. After hatching, the eggs become tadpoles. The tadpoles undergo a transformation, growing legs and lungs, until they become fully developed frogs. The frogs then lay eggs, which hatch into tadpoles, completing the cycle.","The life cycle of a butterfly begins when the female butterfly lays eggs. The eggs hatch into caterpillars, which then feed and grow until they transform into butterflies. After transformation, the butterflies can reproduce and the cycle begins again, as the butterflies will lay eggs which will hatch into caterpillars.",1,analogy
50,384How does a bacterium cause infection?,"A virus is a microscopic organism that invades cells in the body. The virus uses the cells to replicate and grow, eventually leading to a disease. The virus releases toxins which can damage the cells, resulting in inflammation and other symptoms associated with the disease. In some cases, the virus can be fought off by the body's immune system, but in other cases, it can cause long-term damage or even death."," A bacterium invades healthy cells. The damage and inflammation then lead to infection. After the infection, the bacterium releases toxins and viruses that damage the cells. Finally, the toxins and viruses cause further inflammation and damage to the cells.",0,distractor
51,468How does a reverse osmosis water filtration system work?,"Desalination is the process of removing salt from saltwater. The saltwater passes through a semipermeable membrane, and the process of osmosis increases the concentration of salt in the water. Pressure is applied to the water, which forces the saltwater molecules through the membrane and leaves behind the salt."," The contaminated water passes through a filter in the reverse osmosis water filtration system. Then, the pure water passes through the filter, leaving the impurities behind. Afterward, a pressure is applied to the contaminated water, which forces the impurities molecules out of the water and into the filter. Finally, the filtration process increases the purity of the water by removing impurities.",0,distractor
52,1203How is insulin synthesized in a pancreas cell?,"The process of protein synthesis begins with DNA, which codes for a specific protein. The code is then translated into a series of amino acids, which form a protein. The ribosomes in the cell then assemble the protein by connecting the amino acids. The ribosomes act as a factory, assembling the protein as instructed by the DNA code.","The thermostat senses that the temperature has dropped.
A signal is sent to the heating system.
Heating oil travels from the tank to the burner.
The oil becomes a fine mist mixed with air.
The oil/air combination is injected into the burner.
The burner is ignited in the combustion chamber.
The furnace heats the air.
The blower sends the heated air through the ducts.
The heated air comes out the vents and into the room.",0,random
53,300Describe how viruses can cause infection.,"Bacteria can cause disease when they invade the organs of a living organism. Once inside, the bacteria release toxins that can damage the cells of the organism. Additionally, the bacteria can multiply rapidly, which can lead to more severe symptoms of the disease.","Viruses invade cells, hijacking the cell's machinery to replicate themselves. The replicated viruses then release proteins, which disrupt the normal functioning of the cell and cause infection. Viruses have a unique ability to replicate quickly, allowing them to spread and cause infection in a short amount of time.",1,analogy
54,317What happens during corrosion?,"Weathering is a process in which rocks are broken down by external forces. Rainwater erodes the rocks, while heat weakens the minerals within them. Wind carries away particles of rock, further contributing to the weathering process.","You breathe in.
Diaphragm and other muscles expand to allow room for your lungs to fill.
The air flows into the narrow bronchioles in the lungs.
From the bronchioles to the alveoli.
The oxygen enters into the bloodstream.
Is switched with the carbon dioxide in the bloodstream.
The carbon dioxide enters through the alveoli.
Through the narrow bronchioles.
Into the lungs.
The carbon dioxide is exhaled out of the body.",0,random
55,298Describe how viruses can cause disease.,"Bacteria can cause disease when they invade the cells of an organism. These bacteria can produce toxic substances that can damage tissue and cells. Furthermore, these bacteria can replicate rapidly and spread to other parts of the body, leading to an infection."," Viruses are microscopic organisms that can invade cells. The toxins and other substances produced by the virus can cause serious illnesses and diseases in humans. After causing diseases, the virus invades a cell. Then, the virus produces toxins and other substances that can damage the cell or cause it to malfunction. Finally, the virus replicates rapidly, taking over the cell and causing it to produce more viruses.",0,distractor
56,528Describe the behavior of a rabbit in its natural habitat,"A rabbit's life cycle begins when an infant grows into an adult. As the rabbit matures, it develops physical and cognitive skills. During adolescence, the rabbit experiences hormonal changes which prepare it for adulthood. Once the rabbit is an adult, it is capable of reproducing offspring.","A juvenile rabbit matures into an adult, developing foraging skills along the way. As it reaches sub-adult status, hormonal changes occur, preparing the rabbit for adulthood. Once the rabbit is an adult, it is able to reproduce, producing offspring that will go through the same cycle.",1,analogy
57,50How do antibodies form?,"Minerals form when ions combine to form a solid. This process usually involves minerals precipitating out of a solution. The ions then aggregate to form crystals, which grow slowly over time. The crystals form the mineral structure of the rock."," Antigens combine to form antigen-antibody complexes. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective. After the antibodies have grown and become effective, antigen-antibody complexes precipitate out of solution and form antibodies.",0,distractor
58,949How does the hydrologic cycle work?,"The water cycle is the process by which water is continuously recycled on Earth. The first step is evaporation, where water on the surface of the Earth evaporates and transfers into the atmosphere as water vapor. The water vapor then condenses, forming clouds, which eventually precipitate and fall back to the Earth. The water that returns to the Earth's surface as rain or snow is known as runoff, and it then flows into rivers and eventually back into the oceans."," Precipitation, such as rain, snow, and hail, transfers liquid water from the atmosphere to the land and oceans. Then, plant transpiration flows the water back into the atmosphere, completing the cycle. After the cycle is completed, the liquid water can then infiltrate the ground, forming groundwater.",0,distractor
59,1058How does an automated washing machine work?,"The dishwasher works by circulating water throughout the appliance with a pump. The water is then sprayed onto the dishes through a pair of spinning spray arms. A heating element is used to warm the water before it is sprayed onto the dishes, ensuring a thorough clean.","The automated washing machine works by using a motor to circulate the detergent around the drum of the machine. The agitator then spins the clothes inside the drum to ensure that the detergent and water covers them. The motor also activates a heating element, which warms up the detergent to a certain temperature to help with the cleaning process.",1,analogy
60,619Describe how carbon dioxide is transported in the body,"Our lungs absorb oxygen from the air we breathe. This oxygen is then carried by hemoglobin molecules in our blood. The capillaries then transport this oxygen to the cells in our body, allowing them to function properly."," The carbon dioxide is first carried by hemoglobin and circulates through the blood. Then, the body exhales carbon dioxide from the lungs. After exhaling, the hemoglobin delivers the carbon dioxide to the capillaries, where it is released into the tissues and organs. Finally, the carbon dioxide is transported back to the lung, where the cycle starts again.",0,distractor
61,517Describe the life cycle of a plant,"A frog's life cycle begins when adult frogs lay eggs in water. The eggs hatch and become tadpoles. The tadpoles grow and develop gills and fins, then begin to metamorphose into frogs. Once fully transformed, the frogs emerge from the water and move onto land. The frogs then reach adulthood and lay eggs, completing the cycle."," The life cycle of a plant starts when the mature plants produce flowers and fruits which contain the seeds for the next generation. These seeds then germinate, forming seedlings. The seedlings grow and develop into mature plants. Finally, the seeds go on to germinate and form new seedlings, completing the cycle.",0,distractor
